#Summary : 
#Best fitness Pop 1;0.913765
#Best fitness Pop 2;0.91342
#Std deviation Pop 1;0.21351
#Std deviation Pop 2;0.19082
#Sensitivity;0.933227
#Specificity;0.993924
#Accuracy;0.972487
#PPV;0.988216
#RMSE;0.184634
#RRSE;1.61502
#RAE;1.33664
#MSE;0.0340896
#ADM;0.923005
#MDM;0.0143872
#Size;0.333333
#OverLearn;0.433333

#Parameters : 
#Generations;150
#Population size;200
#Number of rules;3
#Number of var per rule;3
#Number of output variables;1
#Number of input sets;2
#Number of output sets;2
#Input sets pos. code size;7
#Output sets pos. code size;1
#Input vars bit code size;8
#Output vars bit code size;1
#Input sets bit code size;2
#Output sets bit code size;1
#Elite size;5
#Crossover probability;0.9
#Individual mutation prob.;0.2
#Bit mutation prob.;0.025
#Fixed vars;0
#Sensitivity weight;1
#Specificity weight;0
#Accuracy weight;0
#PPV weight;1
#RMSE weight;1
#RRSE weight;0
#RAE weight;0
#MSE weight;0
#ADM weight;0
#MDM weight;0
#Size weight;0.1
#OverLearn weight;0

#Fuzzy system : 
 IF 214761_at is MF 1 THEN  is MF 1
 IF 205769_at is MF 1 THEN  is MF 0
 IF 231935_at is MF 1 THEN  is MF 1
 ELSE :  is 0  

Membership functions : 
231935_at (3.17672 , 9.888) ; 205769_at (5.19052 , 6.97585) ; 214761_at (4.11983 , 5.89195) ;  (0 , 1)


#Population Variables
Gen; FitMax; FitAvg; Sensitivity; Specificity; Accuracy; PPV; RMSE
1; 0.823525; 0.512637; 0.837838; 0.956597; 0.914655; 0.913345;0.411687
2; 0.83949; 0.54635; 0.82035; 0.982639; 0.925323; 0.962687;0.378229
3; 0.83949; 0.558667; 0.893482; 0.929688; 0.916901; 0.874028;0.280068
4; 0.83949; 0.545665; 0.82194; 0.987847; 0.929253; 0.973635;0.265542
5; 0.83949; 0.544985; 0.82194; 0.987847; 0.929253; 0.973635;0.265542
6; 0.83949; 0.549753; 0.837838; 0.980035; 0.929815; 0.958182;0.26069
7; 0.815407; 0.618617; 0.837838; 0.980035; 0.929815; 0.958182;0.26069
8; 0.840777; 0.625402; 0.837838; 0.980035; 0.929815; 0.958182;0.26069
9; 0.840777; 0.600583; 0.837838; 0.980035; 0.929815; 0.958182;0.26069
10; 0.840777; 0.620626; 0.82194; 0.987847; 0.929253; 0.973635;0.265599
11; 0.840777; 0.603024; 0.82194; 0.987847; 0.929253; 0.973635;0.265599
12; 0.840777; 0.645593; 0.82194; 0.987847; 0.929253; 0.973635;0.265599
13; 0.847595; 0.61892; 0.82194; 0.987847; 0.929253; 0.973635;0.264128
14; 0.86396; 0.5886; 0.82194; 0.987847; 0.929253; 0.973635;0.264128
15; 0.86396; 0.606287; 0.82194; 0.987847; 0.929253; 0.973635;0.264128
16; 0.86396; 0.606293; 0.82194; 0.987847; 0.929253; 0.973635;0.264096
17; 0.86396; 0.60451; 0.82194; 0.987847; 0.929253; 0.973635;0.264096
18; 0.880095; 0.61501; 0.82194; 0.987847; 0.929253; 0.973635;0.264096
19; 0.880095; 0.64479; 0.82194; 0.987847; 0.929253; 0.973635;0.264096
20; 0.881618; 0.655754; 0.82194; 0.987847; 0.929253; 0.973635;0.25594
21; 0.881618; 0.624273; 0.82194; 0.987847; 0.929253; 0.973635;0.25594
22; 0.881618; 0.605839; 0.82194; 0.987847; 0.929253; 0.973635;0.25594
23; 0.881618; 0.63999; 0.82194; 0.987847; 0.929253; 0.973635;0.25594
24; 0.881618; 0.622029; 0.82194; 0.987847; 0.929253; 0.973635;0.25594
25; 0.881618; 0.631605; 0.82194; 0.987847; 0.929253; 0.973635;0.25594
26; 0.881618; 0.663454; 0.82194; 0.987847; 0.929253; 0.973635;0.25594
27; 0.881618; 0.668112; 0.82194; 0.987847; 0.929253; 0.973635;0.25594
28; 0.881618; 0.657677; 0.82194; 0.987847; 0.929253; 0.973635;0.25594
29; 0.881618; 0.707716; 0.82194; 0.987847; 0.929253; 0.973635;0.25594
30; 0.881618; 0.700056; 0.82194; 0.987847; 0.929253; 0.973635;0.25594
31; 0.881618; 0.710117; 0.82194; 0.987847; 0.929253; 0.973635;0.25594
32; 0.881694; 0.69691; 0.82194; 0.987847; 0.929253; 0.973635;0.255531
33; 0.881694; 0.68302; 0.82194; 0.987847; 0.929253; 0.973635;0.255531
34; 0.881694; 0.696106; 0.82194; 0.987847; 0.929253; 0.973635;0.255531
35; 0.881694; 0.667167; 0.82194; 0.987847; 0.929253; 0.973635;0.255531
36; 0.881694; 0.689551; 0.82194; 0.987847; 0.929253; 0.973635;0.255531
37; 0.881694; 0.687003; 0.82194; 0.987847; 0.929253; 0.973635;0.255531
38; 0.881694; 0.685629; 0.82194; 0.987847; 0.929253; 0.973635;0.255531
39; 0.881758; 0.725492; 0.82194; 0.987847; 0.929253; 0.973635;0.25519
40; 0.881758; 0.753257; 0.82194; 0.987847; 0.929253; 0.973635;0.25519
41; 0.881758; 0.712338; 0.82194; 0.987847; 0.929253; 0.973635;0.25519
42; 0.881758; 0.72389; 0.82194; 0.987847; 0.929253; 0.973635;0.25519
43; 0.881758; 0.730922; 0.82194; 0.987847; 0.929253; 0.973635;0.25519
44; 0.881758; 0.735868; 0.82194; 0.987847; 0.929253; 0.973635;0.25519
45; 0.881758; 0.75238; 0.82194; 0.987847; 0.929253; 0.973635;0.25519
46; 0.881758; 0.743155; 0.82194; 0.987847; 0.929253; 0.973635;0.25519
47; 0.881758; 0.762796; 0.82194; 0.987847; 0.929253; 0.973635;0.25519
48; 0.881758; 0.759504; 0.82194; 0.987847; 0.929253; 0.973635;0.25519
49; 0.881758; 0.763599; 0.82194; 0.987847; 0.929253; 0.973635;0.25519
50; 0.881758; 0.780651; 0.82194; 0.987847; 0.929253; 0.973635;0.25519
51; 0.881758; 0.762118; 0.82194; 0.987847; 0.929253; 0.973635;0.25519
52; 0.881758; 0.766517; 0.82194; 0.987847; 0.929253; 0.973635;0.25519
53; 0.881758; 0.774352; 0.82194; 0.987847; 0.929253; 0.973635;0.25519
54; 0.881758; 0.78079; 0.82194; 0.987847; 0.929253; 0.973635;0.25519
55; 0.881758; 0.793806; 0.82194; 0.987847; 0.929253; 0.973635;0.25519
56; 0.881758; 0.778969; 0.82194; 0.987847; 0.929253; 0.973635;0.25519
57; 0.881758; 0.795347; 0.82194; 0.987847; 0.929253; 0.973635;0.25519
58; 0.881758; 0.789192; 0.82194; 0.987847; 0.929253; 0.973635;0.25519
59; 0.881758; 0.78468; 0.82194; 0.987847; 0.929253; 0.973635;0.25519
60; 0.881758; 0.773546; 0.82194; 0.987847; 0.929253; 0.973635;0.25519
61; 0.881758; 0.779316; 0.82194; 0.987847; 0.929253; 0.973635;0.25519
62; 0.881758; 0.770116; 0.82194; 0.987847; 0.929253; 0.973635;0.25519
63; 0.881758; 0.773628; 0.82194; 0.987847; 0.929253; 0.973635;0.25519
64; 0.881758; 0.77896; 0.82194; 0.987847; 0.929253; 0.973635;0.25519
65; 0.881758; 0.772312; 0.82194; 0.987847; 0.929253; 0.973635;0.25519
66; 0.881758; 0.76926; 0.82194; 0.987847; 0.929253; 0.973635;0.25519
67; 0.881758; 0.769014; 0.82194; 0.987847; 0.929253; 0.973635;0.25519
68; 0.881758; 0.760844; 0.82194; 0.987847; 0.929253; 0.973635;0.25519
69; 0.881758; 0.780101; 0.82194; 0.987847; 0.929253; 0.973635;0.25519
70; 0.881758; 0.783038; 0.82194; 0.987847; 0.929253; 0.973635;0.25519
71; 0.881758; 0.779186; 0.82194; 0.987847; 0.929253; 0.973635;0.25519
72; 0.881758; 0.781738; 0.82194; 0.987847; 0.929253; 0.973635;0.25519
73; 0.881758; 0.778477; 0.82194; 0.987847; 0.929253; 0.973635;0.25519
74; 0.881758; 0.782858; 0.90938; 0.980035; 0.955081; 0.961345;0.208415
75; 0.881758; 0.783787; 0.9062; 0.985243; 0.957327; 0.971039;0.206581
76; 0.881758; 0.780659; 0.9062; 0.985243; 0.957327; 0.971039;0.206581
77; 0.881758; 0.795417; 0.90938; 0.983507; 0.957327; 0.967851;0.206268
78; 0.881758; 0.785782; 0.90938; 0.983507; 0.957327; 0.967851;0.206268
79; 0.881758; 0.788431; 0.903021; 0.986111; 0.956766; 0.972603;0.194324
80; 0.897722; 0.773151; 0.903021; 0.986111; 0.956766; 0.972603;0.194324
81; 0.897722; 0.766429; 0.903021; 0.986111; 0.956766; 0.972603;0.194324
82; 0.897722; 0.770525; 0.903021; 0.986111; 0.956766; 0.972603;0.194324
83; 0.897722; 0.770239; 0.903021; 0.986111; 0.956766; 0.972603;0.194324
84; 0.898556; 0.771061; 0.903021; 0.987847; 0.957889; 0.975945;0.195576
85; 0.898556; 0.780861; 0.903021; 0.987847; 0.957889; 0.975945;0.195576
86; 0.898556; 0.775227; 0.942766; 0.975694; 0.964065; 0.954911;0.172033
87; 0.898757; 0.786948; 0.942766; 0.975694; 0.964065; 0.954911;0.172033
88; 0.898757; 0.763514; 0.949126; 0.973958; 0.965188; 0.952153;0.168896
89; 0.910473; 0.791048; 0.936407; 0.989583; 0.970803; 0.980033;0.182742
90; 0.910473; 0.791783; 0.936407; 0.989583; 0.970803; 0.980033;0.182742
91; 0.910595; 0.787073; 0.931638; 0.992188; 0.970803; 0.984874;0.182239
92; 0.910969; 0.785313; 0.931638; 0.992188; 0.970803; 0.984874;0.180343
93; 0.910969; 0.793949; 0.931638; 0.992188; 0.970803; 0.984874;0.180343
94; 0.910969; 0.802489; 0.931638; 0.992188; 0.970803; 0.984874;0.180343
95; 0.910969; 0.814127; 0.931638; 0.992188; 0.970803; 0.984874;0.180343
96; 0.910969; 0.822297; 0.931638; 0.992188; 0.970803; 0.984874;0.180343
97; 0.910969; 0.824327; 0.931638; 0.992188; 0.970803; 0.984874;0.180343
98; 0.910969; 0.830279; 0.931638; 0.992188; 0.970803; 0.984874;0.180343
99; 0.911419; 0.814929; 0.934817; 0.990451; 0.970803; 0.981636;0.17797
100; 0.911419; 0.831416; 0.934817; 0.990451; 0.970803; 0.981636;0.17797
101; 0.911419; 0.8456; 0.934817; 0.990451; 0.970803; 0.981636;0.17797
102; 0.911419; 0.832757; 0.934817; 0.990451; 0.970803; 0.981636;0.17797
