#Summary : 
#Best fitness Pop 1;0.907255
#Best fitness Pop 2;0.907255
#Std deviation Pop 1;0.228155
#Std deviation Pop 2;0.234033
#Sensitivity;0.939587
#Specificity;0.981771
#Accuracy;0.966873
#PPV;0.965686
#RMSE;0.180796
#RRSE;0.952421
#RAE;0.473105
#MSE;0.032687
#ADM;0.934252
#MDM;0.00836104
#Size;0.25
#OverLearn;0.5

#Parameters : 
#Generations;150
#Population size;200
#Number of rules;3
#Number of var per rule;3
#Number of output variables;1
#Number of input sets;2
#Number of output sets;2
#Input sets pos. code size;7
#Output sets pos. code size;1
#Input vars bit code size;8
#Output vars bit code size;1
#Input sets bit code size;2
#Output sets bit code size;1
#Elite size;5
#Crossover probability;0.9
#Individual mutation prob.;0.2
#Bit mutation prob.;0.025
#Fixed vars;0
#Sensitivity weight;1
#Specificity weight;0
#Accuracy weight;0
#PPV weight;1
#RMSE weight;1
#RRSE weight;0
#RAE weight;0
#MSE weight;0
#ADM weight;0
#MDM weight;0
#Size weight;0.1
#OverLearn weight;0

#Fuzzy system : 
 IF 221349_at is MF 1 THEN  is MF 1
 IF 1566363_at is MF 1 AND 200661_at is MF 0 THEN  is MF 1
 IF 205051_s_at is MF 1 THEN  is MF 0
 ELSE :  is 0  

Membership functions : 
200661_at (9.04536 , 9.51661) ; 1566363_at (7.27135 , 11.6621) ; 205051_s_at (6.43166 , 9.97417) ; 221349_at (4.14125 , 10.3911) ;  (0 , 1)


#Population Variables
Gen; FitMax; FitAvg; Sensitivity; Specificity; Accuracy; PPV; RMSE
1; 0.674827; 0.494498; 0.915739; 0.886285; 0.896687; 0.81471;0.274563
2; 0.838931; 0.522455; 0.893482; 0.944444; 0.926446; 0.897764;0.253856
3; 0.831353; 0.587738; 0.893482; 0.944444; 0.926446; 0.897764;0.253856
4; 0.831353; 0.592429; 0.893482; 0.944444; 0.926446; 0.897764;0.253856
5; 0.880612; 0.670087; 0.893482; 0.944444; 0.926446; 0.897764;0.253856
6; 0.880612; 0.625954; 0.893482; 0.944444; 0.926446; 0.897764;0.253856
7; 0.880612; 0.646169; 0.893482; 0.944444; 0.926446; 0.897764;0.253856
8; 0.880696; 0.642075; 0.883943; 0.950521; 0.927007; 0.907015;0.252913
9; 0.880696; 0.627593; 0.883943; 0.950521; 0.927007; 0.907015;0.252913
10; 0.880696; 0.604308; 0.883943; 0.950521; 0.927007; 0.907015;0.252913
11; 0.880696; 0.623675; 0.883943; 0.950521; 0.927007; 0.907015;0.252913
12; 0.880696; 0.659617; 0.883943; 0.950521; 0.927007; 0.907015;0.252913
13; 0.880696; 0.616558; 0.883943; 0.950521; 0.927007; 0.907015;0.252913
14; 0.880696; 0.632256; 0.883943; 0.950521; 0.927007; 0.907015;0.252913
15; 0.880776; 0.655871; 0.896661; 0.942708; 0.926446; 0.895238;0.254108
16; 0.880776; 0.644304; 0.896661; 0.942708; 0.926446; 0.895238;0.254108
17; 0.881204; 0.625179; 0.896661; 0.943576; 0.927007; 0.896661;0.254273
18; 0.881204; 0.649985; 0.896661; 0.943576; 0.927007; 0.896661;0.254273
