#Summary : 
#Best fitness Pop 1;0.884991
#Best fitness Pop 2;0.887358
#Std deviation Pop 1;0.231143
#Std deviation Pop 2;0.195219
#Sensitivity;0.879173
#Specificity;0.977431
#Accuracy;0.942729
#PPV;0.955095
#RMSE;0.238775
#RRSE;0.769663
#RAE;0.334497
#MSE;0.0570134
#ADM;0.886183
#MDM;0.0068886
#Size;0.5
#OverLearn;0.5

#Parameters : 
#Generations;150
#Population size;200
#Number of rules;3
#Number of var per rule;3
#Number of output variables;1
#Number of input sets;2
#Number of output sets;2
#Input sets pos. code size;7
#Output sets pos. code size;1
#Input vars bit code size;8
#Output vars bit code size;1
#Input sets bit code size;2
#Output sets bit code size;1
#Elite size;5
#Crossover probability;0.9
#Individual mutation prob.;0.2
#Bit mutation prob.;0.025
#Fixed vars;0
#Sensitivity weight;0.8
#Specificity weight;0.2
#Accuracy weight;0
#PPV weight;1
#RMSE weight;1
#RRSE weight;0
#RAE weight;0
#MSE weight;0
#ADM weight;0
#MDM weight;0
#Size weight;0.1
#OverLearn weight;0

#Fuzzy system : 
 IF  THEN  is MF 1
 IF 1566363_at is MF 1 THEN  is MF 1
 IF 207550_at is MF 1 THEN  is MF 0
 ELSE :  is 0  

Membership functions : 
1566363_at (7.19152 , 12.8596) ; 207550_at (5.03314 , 5.71211) ;  (0 , 1)


#Population Variables
Gen; FitMax; FitAvg; Sensitivity; Specificity; Accuracy; PPV; RMSE
1; 0.698804; 0.49602; 0.915739; 0.886285; 0.896687; 0.81471;0.274563
2; 0.842811; 0.561096; 0.882353; 0.950521; 0.926446; 0.906863;0.253837
3; 0.83965; 0.529421; 0.883943; 0.950521; 0.927007; 0.907015;0.254925
4; 0.842811; 0.580904; 0.883943; 0.950521; 0.927007; 0.907015;0.254925
5; 0.884614; 0.663907; 0.883943; 0.950521; 0.927007; 0.907015;0.254925
6; 0.884614; 0.643044; 0.883943; 0.950521; 0.927007; 0.907015;0.254925
7; 0.884614; 0.677836; 0.883943; 0.950521; 0.927007; 0.907015;0.254925
8; 0.884614; 0.662895; 0.883943; 0.950521; 0.927007; 0.907015;0.254925
9; 0.884614; 0.661364; 0.883943; 0.950521; 0.927007; 0.907015;0.254925
10; 0.884614; 0.637998; 0.883943; 0.950521; 0.927007; 0.907015;0.254925
11; 0.884614; 0.663278; 0.883943; 0.950521; 0.927007; 0.907015;0.254925
12; 0.884614; 0.696006; 0.883943; 0.950521; 0.927007; 0.907015;0.254925
13; 0.884614; 0.669895; 0.883943; 0.950521; 0.927007; 0.907015;0.254925
14; 0.884614; 0.689717; 0.883943; 0.950521; 0.927007; 0.907015;0.254925
15; 0.884614; 0.687655; 0.883943; 0.950521; 0.927007; 0.907015;0.254925
16; 0.884614; 0.686797; 0.883943; 0.950521; 0.927007; 0.907015;0.254925
