#Summary : 
#Best fitness Pop 1;0.908404
#Best fitness Pop 2;0.908404
#Std deviation Pop 1;0.224155
#Std deviation Pop 2;0.183319
#Sensitivity;0.915739
#Specificity;0.986979
#Accuracy;0.961819
#PPV;0.974619
#RMSE;0.211123
#RRSE;0.958429
#RAE;0.49017
#MSE;0.0445729
#ADM;0.907263
#MDM;0.0119553
#Size;0.333333
#OverLearn;0.693888

#Parameters : 
#Generations;150
#Population size;200
#Number of rules;3
#Number of var per rule;3
#Number of output variables;1
#Number of input sets;2
#Number of output sets;2
#Input sets pos. code size;7
#Output sets pos. code size;1
#Input vars bit code size;8
#Output vars bit code size;1
#Input sets bit code size;2
#Output sets bit code size;1
#Elite size;5
#Crossover probability;0.9
#Individual mutation prob.;0.2
#Bit mutation prob.;0.025
#Fixed vars;0
#Sensitivity weight;0.6
#Specificity weight;0.4
#Accuracy weight;0
#PPV weight;1
#RMSE weight;1
#RRSE weight;0
#RAE weight;0
#MSE weight;0
#ADM weight;0
#MDM weight;0
#Size weight;0.1
#OverLearn weight;0

#Fuzzy system : 
 IF 221349_at is MF 1 THEN  is MF 1
 IF 1566363_at is MF 1 THEN  is MF 1
 IF 223120_at is MF 1 THEN  is MF 0
 ELSE :  is 0  

Membership functions : 
1566363_at (5.11589 , 13.4184) ; 223120_at (6.2976 , 6.48399) ; 221349_at (8.70848 , 8.94886) ;  (0 , 1)


#Population Variables
Gen; FitMax; FitAvg; Sensitivity; Specificity; Accuracy; PPV; RMSE
1; 0.737052; 0.497616; 0.696343; 0.985243; 0.883212; 0.962637;0.341743
2; 0.851032; 0.569596; 0.834658; 0.96875; 0.921393; 0.935829;0.261395
3; 0.851032; 0.577061; 0.834658; 0.96875; 0.921393; 0.935829;0.261395
4; 0.851032; 0.58812; 0.834658; 0.96875; 0.921393; 0.935829;0.261395
5; 0.851032; 0.611548; 0.834658; 0.96875; 0.921393; 0.935829;0.261395
6; 0.889808; 0.651559; 0.834658; 0.96875; 0.921393; 0.935829;0.261395
7; 0.889808; 0.669042; 0.834658; 0.96875; 0.921393; 0.935829;0.261395
8; 0.889879; 0.664079; 0.868044; 0.956597; 0.925323; 0.916107;0.253169
9; 0.889879; 0.661871; 0.868044; 0.956597; 0.925323; 0.916107;0.253169
10; 0.889879; 0.660129; 0.868044; 0.956597; 0.925323; 0.916107;0.253169
11; 0.889879; 0.672753; 0.868044; 0.956597; 0.925323; 0.916107;0.253169
12; 0.889879; 0.709133; 0.868044; 0.956597; 0.925323; 0.916107;0.253169
13; 0.889879; 0.673553; 0.868044; 0.956597; 0.925323; 0.916107;0.253169
14; 0.890083; 0.702344; 0.834658; 0.96875; 0.921393; 0.935829;0.259923
15; 0.890083; 0.682837; 0.834658; 0.96875; 0.921393; 0.935829;0.259923
16; 0.890083; 0.688722; 0.834658; 0.96875; 0.921393; 0.935829;0.259923
17; 0.890083; 0.67036; 0.922099; 0.958333; 0.945536; 0.923567;0.218608
18; 0.890083; 0.669632; 0.922099; 0.958333; 0.945536; 0.923567;0.218608
19; 0.890083; 0.68961; 0.922099; 0.958333; 0.945536; 0.923567;0.218608
20; 0.890083; 0.702491; 0.922099; 0.958333; 0.945536; 0.923567;0.218608
21; 0.890295; 0.694892; 0.922099; 0.958333; 0.945536; 0.923567;0.218608
22; 0.890083; 0.698338; 0.922099; 0.958333; 0.945536; 0.923567;0.218608
23; 0.890083; 0.700918; 0.91256; 0.961806; 0.944413; 0.928803;0.218251
24; 0.890083; 0.682706; 0.91256; 0.961806; 0.944413; 0.928803;0.218251
25; 0.890083; 0.681352; 0.91256; 0.961806; 0.944413; 0.928803;0.218251
26; 0.893764; 0.692531; 0.91256; 0.961806; 0.944413; 0.928803;0.218251
27; 0.893764; 0.67802; 0.91256; 0.961806; 0.944413; 0.928803;0.218251
28; 0.893764; 0.677542; 0.91256; 0.961806; 0.944413; 0.928803;0.218251
29; 0.893764; 0.695436; 0.91256; 0.961806; 0.944413; 0.928803;0.218251
30; 0.893764; 0.699323; 0.91256; 0.961806; 0.944413; 0.928803;0.218251
31; 0.894102; 0.663999; 0.925278; 0.958333; 0.946659; 0.92381;0.218585
32; 0.894102; 0.6767; 0.925278; 0.958333; 0.946659; 0.92381;0.218585
33; 0.894102; 0.638083; 0.925278; 0.958333; 0.946659; 0.92381;0.218585
34; 0.894102; 0.689051; 0.925278; 0.958333; 0.946659; 0.92381;0.218585
35; 0.894102; 0.668447; 0.925278; 0.958333; 0.946659; 0.92381;0.218585
36; 0.894102; 0.683553; 0.925278; 0.958333; 0.946659; 0.92381;0.218585
37; 0.894102; 0.699374; 0.925278; 0.958333; 0.946659; 0.92381;0.218585
38; 0.894117; 0.680393; 0.925278; 0.958333; 0.946659; 0.92381;0.218508
39; 0.894117; 0.647539; 0.925278; 0.958333; 0.946659; 0.92381;0.218508
40; 0.894198; 0.659739; 0.917329; 0.960938; 0.945536; 0.927653;0.218284
41; 0.894198; 0.609337; 0.917329; 0.960938; 0.945536; 0.927653;0.218284
42; 0.894198; 0.624755; 0.917329; 0.960938; 0.945536; 0.927653;0.218284
43; 0.894198; 0.624599; 0.917329; 0.960938; 0.945536; 0.927653;0.218284
44; 0.894198; 0.608242; 0.917329; 0.960938; 0.945536; 0.927653;0.218284
45; 0.894198; 0.621518; 0.917329; 0.960938; 0.945536; 0.927653;0.218284
46; 0.894198; 0.594196; 0.917329; 0.960938; 0.945536; 0.927653;0.218284
47; 0.894636; 0.602173; 0.918919; 0.960938; 0.946098; 0.927769;0.217798
48; 0.894636; 0.6026; 0.918919; 0.960938; 0.946098; 0.927769;0.217798
49; 0.894636; 0.598929; 0.918919; 0.960938; 0.946098; 0.927769;0.217798
50; 0.894636; 0.609614; 0.918919; 0.960938; 0.946098; 0.927769;0.217798
51; 0.894636; 0.615629; 0.918919; 0.960938; 0.946098; 0.927769;0.217798
52; 0.894636; 0.616403; 0.918919; 0.960938; 0.946098; 0.927769;0.217798
53; 0.894636; 0.627716; 0.918919; 0.960938; 0.946098; 0.927769;0.217798
54; 0.894636; 0.634997; 0.918919; 0.960938; 0.946098; 0.927769;0.217798
55; 0.894636; 0.654277; 0.918919; 0.960938; 0.946098; 0.927769;0.217798
56; 0.894972; 0.628725; 0.917329; 0.961806; 0.946098; 0.929147;0.217344
