#Summary : 
#Best fitness Pop 1;0.917458
#Best fitness Pop 2;0.917857
#Std deviation Pop 1;0.220295
#Std deviation Pop 2;0.170718
#Sensitivity;0.879173
#Specificity;0.990451
#Accuracy;0.951151
#PPV;0.980496
#RMSE;0.202705
#RRSE;1.59483
#RAE;1.30323
#MSE;0.0410894
#ADM;0.911336
#MDM;0.00470868
#Size;0.5
#OverLearn;0.5

#Parameters : 
#Generations;150
#Population size;200
#Number of rules;3
#Number of var per rule;3
#Number of output variables;1
#Number of input sets;2
#Number of output sets;2
#Input sets pos. code size;7
#Output sets pos. code size;1
#Input vars bit code size;8
#Output vars bit code size;1
#Input sets bit code size;2
#Output sets bit code size;1
#Elite size;5
#Crossover probability;0.9
#Individual mutation prob.;0.2
#Bit mutation prob.;0.025
#Fixed vars;0
#Sensitivity weight;0.4
#Specificity weight;0.6
#Accuracy weight;0
#PPV weight;1
#RMSE weight;1
#RRSE weight;0
#RAE weight;0
#MSE weight;0
#ADM weight;0
#MDM weight;0
#Size weight;0.1
#OverLearn weight;0

#Fuzzy system : 
 IF 221286_s_at is MF 1 THEN  is MF 1
 IF  THEN  is MF 1
 IF 214761_at is MF 1 THEN  is MF 1
 ELSE :  is 0  

Membership functions : 
221286_s_at (9.23495 , 11.6999) ; 214761_at (2.98567 , 7.30964) ;  (0 , 1)


#Population Variables
Gen; FitMax; FitAvg; Sensitivity; Specificity; Accuracy; PPV; RMSE
1; 0.775299; 0.499499; 0.696343; 0.985243; 0.883212; 0.962637;0.341743
2; 0.862657; 0.577881; 0.828299; 0.969618; 0.919708; 0.93705;0.259916
3; 0.862657; 0.580739; 0.828299; 0.969618; 0.919708; 0.93705;0.259916
4; 0.860154; 0.589001; 0.828299; 0.969618; 0.919708; 0.93705;0.259916
5; 0.861276; 0.61695; 0.828299; 0.969618; 0.919708; 0.93705;0.259916
6; 0.898477; 0.643274; 0.828299; 0.969618; 0.919708; 0.93705;0.259916
7; 0.898477; 0.669507; 0.828299; 0.969618; 0.919708; 0.93705;0.259916
8; 0.898477; 0.663451; 0.828299; 0.969618; 0.919708; 0.93705;0.259916
9; 0.898477; 0.658641; 0.828299; 0.969618; 0.919708; 0.93705;0.259916
10; 0.898477; 0.619782; 0.828299; 0.969618; 0.919708; 0.93705;0.259916
11; 0.898477; 0.661876; 0.828299; 0.969618; 0.919708; 0.93705;0.259916
12; 0.898477; 0.670246; 0.828299; 0.969618; 0.919708; 0.93705;0.259916
13; 0.898477; 0.649398; 0.828299; 0.969618; 0.919708; 0.93705;0.259916
14; 0.898734; 0.67605; 0.834658; 0.96875; 0.921393; 0.935829;0.259923
15; 0.898734; 0.6829; 0.834658; 0.96875; 0.921393; 0.935829;0.259923
16; 0.898734; 0.673053; 0.834658; 0.96875; 0.921393; 0.935829;0.259923
17; 0.898734; 0.654995; 0.834658; 0.96875; 0.921393; 0.935829;0.259923
18; 0.898734; 0.691969; 0.834658; 0.96875; 0.921393; 0.935829;0.259923
19; 0.898734; 0.686319; 0.834658; 0.96875; 0.921393; 0.935829;0.259923
20; 0.898734; 0.680798; 0.834658; 0.96875; 0.921393; 0.935829;0.259923
21; 0.898788; 0.659559; 0.836248; 0.967882; 0.921393; 0.934281;0.257161
22; 0.898788; 0.639413; 0.836248; 0.967882; 0.921393; 0.934281;0.257161
23; 0.898788; 0.646229; 0.836248; 0.967882; 0.921393; 0.934281;0.257161
24; 0.898788; 0.660082; 0.836248; 0.967882; 0.921393; 0.934281;0.257161
25; 0.898788; 0.63296; 0.836248; 0.967882; 0.921393; 0.934281;0.257161
26; 0.899058; 0.630919; 0.834658; 0.96875; 0.921393; 0.935829;0.258189
27; 0.899058; 0.634922; 0.834658; 0.96875; 0.921393; 0.935829;0.258189
28; 0.899058; 0.643153; 0.834658; 0.96875; 0.921393; 0.935829;0.258189
29; 0.899058; 0.647281; 0.834658; 0.96875; 0.921393; 0.935829;0.258189
30; 0.899058; 0.679158; 0.834658; 0.96875; 0.921393; 0.935829;0.258189
31; 0.899058; 0.654118; 0.834658; 0.96875; 0.921393; 0.935829;0.258189
32; 0.899058; 0.65213; 0.834658; 0.96875; 0.921393; 0.935829;0.258189
33; 0.899058; 0.661195; 0.834658; 0.96875; 0.921393; 0.935829;0.258189
34; 0.899058; 0.680466; 0.834658; 0.96875; 0.921393; 0.935829;0.258189
35; 0.899058; 0.681099; 0.834658; 0.96875; 0.921393; 0.935829;0.258189
36; 0.899058; 0.694105; 0.834658; 0.96875; 0.921393; 0.935829;0.258189
37; 0.899058; 0.652329; 0.834658; 0.96875; 0.921393; 0.935829;0.258189
38; 0.899058; 0.639773; 0.834658; 0.96875; 0.921393; 0.935829;0.258189
39; 0.899058; 0.664392; 0.834658; 0.96875; 0.921393; 0.935829;0.258189
40; 0.899058; 0.640864; 0.834658; 0.96875; 0.921393; 0.935829;0.258189
41; 0.899058; 0.648382; 0.834658; 0.96875; 0.921393; 0.935829;0.258189
42; 0.899058; 0.655653; 0.834658; 0.96875; 0.921393; 0.935829;0.258189
43; 0.899058; 0.660464; 0.834658; 0.96875; 0.921393; 0.935829;0.258189
44; 0.899058; 0.649491; 0.834658; 0.96875; 0.921393; 0.935829;0.258189
45; 0.899058; 0.646312; 0.834658; 0.96875; 0.921393; 0.935829;0.258189
46; 0.899058; 0.64144; 0.834658; 0.96875; 0.921393; 0.935829;0.258189
47; 0.899058; 0.644378; 0.834658; 0.96875; 0.921393; 0.935829;0.258189
48; 0.899058; 0.662739; 0.834658; 0.96875; 0.921393; 0.935829;0.258189
49; 0.899058; 0.688466; 0.834658; 0.96875; 0.921393; 0.935829;0.258189
50; 0.899058; 0.65768; 0.834658; 0.96875; 0.921393; 0.935829;0.258189
51; 0.899058; 0.650142; 0.834658; 0.96875; 0.921393; 0.935829;0.258189
52; 0.899058; 0.640568; 0.834658; 0.96875; 0.921393; 0.935829;0.258189
53; 0.899058; 0.631628; 0.834658; 0.96875; 0.921393; 0.935829;0.258189
54; 0.899058; 0.667447; 0.834658; 0.96875; 0.921393; 0.935829;0.258189
55; 0.899058; 0.70149; 0.834658; 0.96875; 0.921393; 0.935829;0.258189
56; 0.899058; 0.668127; 0.834658; 0.96875; 0.921393; 0.935829;0.258189
57; 0.899058; 0.668432; 0.806041; 0.993924; 0.927569; 0.986381;0.256257
58; 0.899058; 0.635783; 0.806041; 0.993924; 0.927569; 0.986381;0.256257
59; 0.899058; 0.652165; 0.806041; 0.993924; 0.927569; 0.986381;0.256257
60; 0.899058; 0.653861; 0.806041; 0.993924; 0.927569; 0.986381;0.256257
61; 0.899058; 0.629931; 0.806041; 0.993924; 0.927569; 0.986381;0.256257
62; 0.899058; 0.684144; 0.806041; 0.993924; 0.927569; 0.986381;0.256257
63; 0.899058; 0.651236; 0.806041; 0.993924; 0.927569; 0.986381;0.256257
64; 0.899058; 0.665699; 0.806041; 0.993924; 0.927569; 0.986381;0.256257
65; 0.899058; 0.636429; 0.806041; 0.993924; 0.927569; 0.986381;0.256257
66; 0.899058; 0.663136; 0.806041; 0.993924; 0.927569; 0.986381;0.256257
67; 0.916906; 0.621142; 0.806041; 0.993924; 0.927569; 0.986381;0.256257
68; 0.916906; 0.663996; 0.806041; 0.993924; 0.927569; 0.986381;0.256257
69; 0.916906; 0.674674; 0.806041; 0.993924; 0.927569; 0.986381;0.256257
70; 0.916906; 0.680342; 0.806041; 0.993924; 0.927569; 0.986381;0.256257
71; 0.916906; 0.679606; 0.806041; 0.993924; 0.927569; 0.986381;0.256257
72; 0.916906; 0.673783; 0.806041; 0.993924; 0.927569; 0.986381;0.256257
73; 0.916906; 0.665878; 0.806041; 0.993924; 0.927569; 0.986381;0.256257
74; 0.916906; 0.657757; 0.806041; 0.993924; 0.927569; 0.986381;0.256257
75; 0.916906; 0.684404; 0.806041; 0.993924; 0.927569; 0.986381;0.256257
76; 0.916906; 0.665799; 0.806041; 0.993924; 0.927569; 0.986381;0.256257
77; 0.917186; 0.65879; 0.807631; 0.993924; 0.92813; 0.986408;0.255906
78; 0.917186; 0.667696; 0.807631; 0.993924; 0.92813; 0.986408;0.255906
79; 0.917186; 0.700042; 0.807631; 0.993924; 0.92813; 0.986408;0.255906
80; 0.917186; 0.695268; 0.807631; 0.993924; 0.92813; 0.986408;0.255906
81; 0.917186; 0.729841; 0.807631; 0.993924; 0.92813; 0.986408;0.255906
82; 0.917186; 0.722403; 0.807631; 0.993924; 0.92813; 0.986408;0.255906
83; 0.917186; 0.743505; 0.807631; 0.993924; 0.92813; 0.986408;0.255906
84; 0.917186; 0.741349; 0.807631; 0.993924; 0.92813; 0.986408;0.255906
85; 0.917186; 0.746502; 0.807631; 0.993924; 0.92813; 0.986408;0.255906
86; 0.917186; 0.750617; 0.807631; 0.993924; 0.92813; 0.986408;0.255906
87; 0.917186; 0.763979; 0.807631; 0.993924; 0.92813; 0.986408;0.255906
88; 0.917186; 0.760201; 0.807631; 0.993924; 0.92813; 0.986408;0.255906
89; 0.917186; 0.751995; 0.807631; 0.993924; 0.92813; 0.986408;0.255906
90; 0.917186; 0.735387; 0.807631; 0.993924; 0.92813; 0.986408;0.255906
91; 0.917186; 0.732932; 0.807631; 0.993924; 0.92813; 0.986408;0.255906
92; 0.917186; 0.756017; 0.807631; 0.993924; 0.92813; 0.986408;0.255906
93; 0.917186; 0.771701; 0.807631; 0.993924; 0.92813; 0.986408;0.255906
94; 0.917186; 0.781963; 0.807631; 0.993924; 0.92813; 0.986408;0.255906
95; 0.917186; 0.805306; 0.807631; 0.993924; 0.92813; 0.986408;0.255906
96; 0.917186; 0.810998; 0.807631; 0.993924; 0.92813; 0.986408;0.255906
97; 0.917186; 0.825266; 0.807631; 0.993924; 0.92813; 0.986408;0.255906
