#Summary : 
#Best fitness Pop 1;0.913277
#Best fitness Pop 2;0.919777
#Std deviation Pop 1;0.22002
#Std deviation Pop 2;0.169966
#Sensitivity;0.941176
#Specificity;0.985243
#Accuracy;0.96968
#PPV;0.972085
#RMSE;0.242654
#RRSE;1.24393
#RAE;0.815559
#MSE;0.0588808
#ADM;0.861068
#MDM;0.00607532
#Size;0.25
#OverLearn;0.476142

#Parameters : 
#Generations;150
#Population size;200
#Number of rules;3
#Number of var per rule;3
#Number of output variables;1
#Number of input sets;2
#Number of output sets;2
#Input sets pos. code size;7
#Output sets pos. code size;1
#Input vars bit code size;8
#Output vars bit code size;1
#Input sets bit code size;2
#Output sets bit code size;1
#Elite size;5
#Crossover probability;0.9
#Individual mutation prob.;0.2
#Bit mutation prob.;0.025
#Fixed vars;0
#Sensitivity weight;1
#Specificity weight;1
#Accuracy weight;0
#PPV weight;1
#RMSE weight;0.8
#RRSE weight;0
#RAE weight;0
#MSE weight;0
#ADM weight;0
#MDM weight;0
#Size weight;0.1
#OverLearn weight;0

#Fuzzy system : 
 IF 214761_at is MF 1 THEN  is MF 1
 IF 201416_at is MF 1 THEN  is MF 1
 IF 221558_s_at is MF 0 AND 208168_s_at is MF 1 THEN  is MF 0
 ELSE :  is 0  

Membership functions : 
208168_s_at (3.1857 , 3.24339) ; 221558_s_at (6.62275 , 10.8964) ; 201416_at (7.90141 , 12.8251) ; 214761_at (5.60841 , 7.59318) ;  (0 , 1)


#Population Variables
Gen; FitMax; FitAvg; Sensitivity; Specificity; Accuracy; PPV; RMSE
1; 0.738624; 0.502823; 0.915739; 0.886285; 0.896687; 0.81471;0.274563
2; 0.866241; 0.575308; 0.869634; 0.955729; 0.925323; 0.914716;0.253063
3; 0.866241; 0.584063; 0.883943; 0.950521; 0.927007; 0.907015;0.254925
4; 0.866241; 0.597805; 0.883943; 0.950521; 0.927007; 0.907015;0.254925
5; 0.866241; 0.613083; 0.883943; 0.950521; 0.927007; 0.907015;0.254925
6; 0.900488; 0.666579; 0.883943; 0.950521; 0.927007; 0.907015;0.254925
7; 0.900488; 0.689831; 0.883943; 0.950521; 0.927007; 0.907015;0.254925
8; 0.90051; 0.693045; 0.868044; 0.956597; 0.925323; 0.916107;0.253169
9; 0.90051; 0.676627; 0.868044; 0.956597; 0.925323; 0.916107;0.253169
10; 0.90051; 0.665834; 0.868044; 0.956597; 0.925323; 0.916107;0.253169
11; 0.90051; 0.691843; 0.868044; 0.956597; 0.925323; 0.916107;0.253169
12; 0.90051; 0.724907; 0.868044; 0.956597; 0.925323; 0.916107;0.253169
13; 0.90051; 0.711224; 0.868044; 0.956597; 0.925323; 0.916107;0.253169
14; 0.90051; 0.734318; 0.868044; 0.956597; 0.925323; 0.916107;0.253169
15; 0.90051; 0.731432; 0.868044; 0.956597; 0.925323; 0.916107;0.253169
16; 0.90051; 0.727803; 0.868044; 0.956597; 0.925323; 0.916107;0.253169
17; 0.90051; 0.692961; 0.868044; 0.956597; 0.925323; 0.916107;0.253169
18; 0.90051; 0.692591; 0.933227; 0.948785; 0.94329; 0.908669;0.221619
