#Summary : 
#Best fitness Pop 1;0.924178
#Best fitness Pop 2;0.924178
#Std deviation Pop 1;0.220144
#Std deviation Pop 2;0.176729
#Sensitivity;0.922099
#Specificity;0.985243
#Accuracy;0.962942
#PPV;0.971524
#RMSE;0.209034
#RRSE;0.924148
#RAE;0.45401
#MSE;0.0436951
#ADM;0.91246
#MDM;0.0171835
#Size;0.333333
#OverLearn;0.5

#Parameters : 
#Generations;150
#Population size;200
#Number of rules;3
#Number of var per rule;3
#Number of output variables;1
#Number of input sets;2
#Number of output sets;2
#Input sets pos. code size;7
#Output sets pos. code size;1
#Input vars bit code size;8
#Output vars bit code size;1
#Input sets bit code size;2
#Output sets bit code size;1
#Elite size;5
#Crossover probability;0.9
#Individual mutation prob.;0.2
#Bit mutation prob.;0.025
#Fixed vars;0
#Sensitivity weight;1
#Specificity weight;1
#Accuracy weight;0
#PPV weight;1
#RMSE weight;0.8
#RRSE weight;0
#RAE weight;0
#MSE weight;0
#ADM weight;0
#MDM weight;0
#Size weight;0.1
#OverLearn weight;0

#Fuzzy system : 
 IF 221349_at is MF 1 THEN  is MF 1
 IF 1566363_at is MF 1 THEN  is MF 1
 IF 223120_at is MF 1 THEN  is MF 0
 ELSE :  is 0  

Membership functions : 
1566363_at (5.35539 , 13.1789) ; 223120_at (6.43739 , 6.62378) ; 221349_at (8.62835 , 9.18924) ;  (0 , 1)


#Population Variables
Gen; FitMax; FitAvg; Sensitivity; Specificity; Accuracy; PPV; RMSE
1; 0.738624; 0.502823; 0.915739; 0.886285; 0.896687; 0.81471;0.274563
2; 0.866241; 0.575308; 0.869634; 0.955729; 0.925323; 0.914716;0.253063
3; 0.866241; 0.584063; 0.883943; 0.950521; 0.927007; 0.907015;0.254925
4; 0.866241; 0.597805; 0.883943; 0.950521; 0.927007; 0.907015;0.254925
5; 0.866241; 0.613083; 0.883943; 0.950521; 0.927007; 0.907015;0.254925
6; 0.900488; 0.666579; 0.883943; 0.950521; 0.927007; 0.907015;0.254925
7; 0.900488; 0.689831; 0.883943; 0.950521; 0.927007; 0.907015;0.254925
8; 0.90051; 0.693045; 0.868044; 0.956597; 0.925323; 0.916107;0.253169
9; 0.90051; 0.676627; 0.868044; 0.956597; 0.925323; 0.916107;0.253169
10; 0.90051; 0.665834; 0.868044; 0.956597; 0.925323; 0.916107;0.253169
11; 0.90051; 0.691843; 0.868044; 0.956597; 0.925323; 0.916107;0.253169
12; 0.90051; 0.724907; 0.868044; 0.956597; 0.925323; 0.916107;0.253169
13; 0.90051; 0.711224; 0.868044; 0.956597; 0.925323; 0.916107;0.253169
14; 0.90051; 0.734318; 0.868044; 0.956597; 0.925323; 0.916107;0.253169
15; 0.90051; 0.731432; 0.868044; 0.956597; 0.925323; 0.916107;0.253169
16; 0.90051; 0.727803; 0.930048; 0.950521; 0.94329; 0.911215;0.221566
17; 0.90051; 0.692961; 0.930048; 0.950521; 0.94329; 0.911215;0.221566
18; 0.90051; 0.692591; 0.922099; 0.958333; 0.945536; 0.923567;0.219275
19; 0.90051; 0.713634; 0.915739; 0.960938; 0.944975; 0.927536;0.21944
