#Summary : 
#Best fitness Pop 1;0.927798
#Best fitness Pop 2;0.927658
#Std deviation Pop 1;0.232074
#Std deviation Pop 2;0.163068
#Sensitivity;0.926868
#Specificity;0.983507
#Accuracy;0.963504
#PPV;0.968439
#RMSE;0.179792
#RRSE;0.500587
#RAE;0.138755
#MSE;0.0323251
#ADM;0.941154
#MDM;0.014332
#Size;0.333333
#OverLearn;0.433333

#Parameters : 
#Generations;150
#Population size;200
#Number of rules;3
#Number of var per rule;3
#Number of output variables;1
#Number of input sets;2
#Number of output sets;2
#Input sets pos. code size;7
#Output sets pos. code size;1
#Input vars bit code size;8
#Output vars bit code size;1
#Input sets bit code size;2
#Output sets bit code size;1
#Elite size;5
#Crossover probability;0.9
#Individual mutation prob.;0.2
#Bit mutation prob.;0.025
#Fixed vars;0
#Sensitivity weight;1
#Specificity weight;1
#Accuracy weight;0
#PPV weight;1
#RMSE weight;0.8
#RRSE weight;0
#RAE weight;0
#MSE weight;0
#ADM weight;0
#MDM weight;0
#Size weight;0.1
#OverLearn weight;0

#Fuzzy system : 
 IF  THEN  is MF 1
 IF 1566363_at is MF 1 AND 205051_s_at is MF 0 THEN  is MF 1
 IF 231935_at is MF 1 THEN  is MF 1
 ELSE :  is 0  

Membership functions : 
231935_at (5.43596 , 8.82483) ; 1566363_at (6.07387 , 8.22933) ; 205051_s_at (5.77564 , 6.95648) ;  (0 , 1)


#Population Variables
Gen; FitMax; FitAvg; Sensitivity; Specificity; Accuracy; PPV; RMSE
1; 0.738624; 0.502823; 0.915739; 0.886285; 0.896687; 0.81471;0.274563
2; 0.866241; 0.575308; 0.869634; 0.955729; 0.925323; 0.914716;0.253063
3; 0.866241; 0.584063; 0.883943; 0.950521; 0.927007; 0.907015;0.254925
4; 0.866241; 0.597805; 0.883943; 0.950521; 0.927007; 0.907015;0.254925
5; 0.866241; 0.613083; 0.883943; 0.950521; 0.927007; 0.907015;0.254925
6; 0.900488; 0.666579; 0.883943; 0.950521; 0.927007; 0.907015;0.254925
7; 0.900488; 0.689831; 0.883943; 0.950521; 0.927007; 0.907015;0.254925
8; 0.90051; 0.693045; 0.868044; 0.956597; 0.925323; 0.916107;0.253169
9; 0.90051; 0.676627; 0.868044; 0.956597; 0.925323; 0.916107;0.253169
10; 0.90051; 0.665834; 0.868044; 0.956597; 0.925323; 0.916107;0.253169
11; 0.90051; 0.691843; 0.868044; 0.956597; 0.925323; 0.916107;0.253169
12; 0.90051; 0.724907; 0.868044; 0.956597; 0.925323; 0.916107;0.253169
13; 0.90051; 0.711224; 0.868044; 0.956597; 0.925323; 0.916107;0.253169
14; 0.90051; 0.734318; 0.868044; 0.956597; 0.925323; 0.916107;0.253169
15; 0.90051; 0.731432; 0.868044; 0.956597; 0.925323; 0.916107;0.253169
16; 0.90051; 0.727803; 0.868044; 0.956597; 0.925323; 0.916107;0.253169
17; 0.90051; 0.692961; 0.868044; 0.956597; 0.925323; 0.916107;0.253169
18; 0.90051; 0.692591; 0.933227; 0.948785; 0.94329; 0.908669;0.221619
19; 0.90051; 0.713649; 0.933227; 0.948785; 0.94329; 0.908669;0.221619
