#Summary : 
#Best fitness Pop 1;0.923756
#Best fitness Pop 2;0.923756
#Std deviation Pop 1;0.242734
#Std deviation Pop 2;0.175427
#Sensitivity;0.868044
#Specificity;0.991319
#Accuracy;0.947782
#PPV;0.982014
#RMSE;0.226977
#RRSE;0.514535
#RAE;0.140624
#MSE;0.0515187
#ADM;0.920483
#MDM;0.0350971
#Size;0.5
#OverLearn;0.5

#Parameters : 
#Generations;150
#Population size;200
#Number of rules;3
#Number of var per rule;3
#Number of output variables;1
#Number of input sets;2
#Number of output sets;2
#Input sets pos. code size;7
#Output sets pos. code size;1
#Input vars bit code size;8
#Output vars bit code size;1
#Input sets bit code size;2
#Output sets bit code size;1
#Elite size;5
#Crossover probability;0.9
#Individual mutation prob.;0.2
#Bit mutation prob.;0.025
#Fixed vars;0
#Sensitivity weight;1
#Specificity weight;1
#Accuracy weight;0
#PPV weight;1
#RMSE weight;0.4
#RRSE weight;0
#RAE weight;0
#MSE weight;0
#ADM weight;0
#MDM weight;0
#Size weight;0.1
#OverLearn weight;0

#Fuzzy system : 
 IF  THEN  is MF 1
 IF 1566363_at is MF 1 AND 205051_s_at is MF 0 THEN  is MF 1
 IF  THEN  is MF 1
 ELSE :  is 0  

Membership functions : 
1566363_at (8.22933 , 10.7839) ; 205051_s_at (8.07171 , 8.39972) ;  (0 , 1)


#Population Variables
Gen; FitMax; FitAvg; Sensitivity; Specificity; Accuracy; PPV; RMSE
1; 0.739463; 0.485468; 0.696343; 0.985243; 0.883212; 0.962637;0.341743
2; 0.871172; 0.563898; 0.869634; 0.955729; 0.925323; 0.914716;0.253063
3; 0.871172; 0.573; 0.883943; 0.950521; 0.927007; 0.907015;0.254925
4; 0.871172; 0.587675; 0.883943; 0.950521; 0.927007; 0.907015;0.254925
5; 0.871172; 0.603601; 0.883943; 0.950521; 0.927007; 0.907015;0.254925
6; 0.907626; 0.660087; 0.883943; 0.950521; 0.927007; 0.907015;0.254925
7; 0.907626; 0.689167; 0.883943; 0.950521; 0.927007; 0.907015;0.254925
8; 0.907626; 0.673191; 0.883943; 0.950521; 0.927007; 0.907015;0.254925
9; 0.907626; 0.674574; 0.883943; 0.950521; 0.927007; 0.907015;0.254925
10; 0.907626; 0.659458; 0.883943; 0.950521; 0.927007; 0.907015;0.254925
11; 0.907626; 0.680219; 0.883943; 0.950521; 0.927007; 0.907015;0.254925
12; 0.907626; 0.716524; 0.883943; 0.950521; 0.927007; 0.907015;0.254925
13; 0.907626; 0.696035; 0.883943; 0.950521; 0.927007; 0.907015;0.254925
14; 0.907626; 0.720993; 0.883943; 0.950521; 0.927007; 0.907015;0.254925
15; 0.907626; 0.691786; 0.883943; 0.950521; 0.927007; 0.907015;0.254925
16; 0.907626; 0.691066; 0.883943; 0.950521; 0.927007; 0.907015;0.254925
17; 0.907626; 0.668681; 0.883943; 0.950521; 0.927007; 0.907015;0.254925
18; 0.907626; 0.663071; 0.883943; 0.950521; 0.927007; 0.907015;0.254925
19; 0.907626; 0.702887; 0.883943; 0.950521; 0.927007; 0.907015;0.254925
20; 0.907626; 0.718667; 0.883943; 0.950521; 0.927007; 0.907015;0.254925
21; 0.907626; 0.693051; 0.883943; 0.950521; 0.927007; 0.907015;0.254925
22; 0.907626; 0.689704; 0.883943; 0.950521; 0.927007; 0.907015;0.254925
23; 0.907626; 0.708814; 0.883943; 0.950521; 0.927007; 0.907015;0.254925
24; 0.907626; 0.69396; 0.883943; 0.950521; 0.927007; 0.907015;0.254925
25; 0.907626; 0.685931; 0.883943; 0.950521; 0.927007; 0.907015;0.254925
26; 0.907626; 0.713218; 0.883943; 0.950521; 0.927007; 0.907015;0.254925
27; 0.907626; 0.704824; 0.883943; 0.950521; 0.927007; 0.907015;0.254925
28; 0.907626; 0.698982; 0.883943; 0.950521; 0.927007; 0.907015;0.254925
29; 0.907626; 0.711618; 0.883943; 0.950521; 0.927007; 0.907015;0.254925
30; 0.907742; 0.71863; 0.883943; 0.950521; 0.927007; 0.907015;0.253182
31; 0.907742; 0.690484; 0.883943; 0.950521; 0.927007; 0.907015;0.253182
32; 0.907742; 0.704114; 0.883943; 0.950521; 0.927007; 0.907015;0.253182
33; 0.907742; 0.660634; 0.883943; 0.950521; 0.927007; 0.907015;0.253182
34; 0.907742; 0.718838; 0.883943; 0.950521; 0.927007; 0.907015;0.253182
35; 0.907742; 0.697796; 0.883943; 0.950521; 0.927007; 0.907015;0.253182
36; 0.907742; 0.718636; 0.883943; 0.950521; 0.927007; 0.907015;0.253182
37; 0.907742; 0.713769; 0.883943; 0.950521; 0.927007; 0.907015;0.253182
38; 0.907742; 0.701683; 0.883943; 0.950521; 0.927007; 0.907015;0.253182
39; 0.907742; 0.66672; 0.883943; 0.950521; 0.927007; 0.907015;0.253182
40; 0.907742; 0.68267; 0.883943; 0.950521; 0.927007; 0.907015;0.253182
41; 0.907742; 0.632332; 0.883943; 0.950521; 0.927007; 0.907015;0.253182
42; 0.907742; 0.637882; 0.883943; 0.950521; 0.927007; 0.907015;0.253182
43; 0.907742; 0.651645; 0.883943; 0.950521; 0.927007; 0.907015;0.253182
44; 0.907742; 0.633852; 0.883943; 0.950521; 0.927007; 0.907015;0.253182
45; 0.907742; 0.650194; 0.883943; 0.950521; 0.927007; 0.907015;0.253182
46; 0.907742; 0.618374; 0.883943; 0.950521; 0.927007; 0.907015;0.253182
47; 0.907742; 0.618423; 0.883943; 0.950521; 0.927007; 0.907015;0.253182
48; 0.907742; 0.631654; 0.883943; 0.950521; 0.927007; 0.907015;0.253182
49; 0.907742; 0.625112; 0.883943; 0.950521; 0.927007; 0.907015;0.253182
50; 0.907742; 0.635681; 0.883943; 0.950521; 0.927007; 0.907015;0.253182
51; 0.907742; 0.643285; 0.883943; 0.950521; 0.927007; 0.907015;0.253182
52; 0.907742; 0.646328; 0.883943; 0.950521; 0.927007; 0.907015;0.253182
53; 0.907742; 0.658329; 0.883943; 0.950521; 0.927007; 0.907015;0.253182
54; 0.907742; 0.65974; 0.883943; 0.950521; 0.927007; 0.907015;0.253182
55; 0.907742; 0.696195; 0.883943; 0.950521; 0.927007; 0.907015;0.253182
56; 0.907742; 0.665719; 0.883943; 0.950521; 0.927007; 0.907015;0.253182
57; 0.907742; 0.638143; 0.883943; 0.950521; 0.927007; 0.907015;0.253182
58; 0.907742; 0.645043; 0.883943; 0.950521; 0.927007; 0.907015;0.253182
59; 0.907742; 0.639716; 0.883943; 0.950521; 0.927007; 0.907015;0.253182
60; 0.907742; 0.653045; 0.883943; 0.950521; 0.927007; 0.907015;0.253182
61; 0.907742; 0.661573; 0.883943; 0.950521; 0.927007; 0.907015;0.253182
62; 0.907742; 0.668025; 0.883943; 0.950521; 0.927007; 0.907015;0.253182
63; 0.907742; 0.686471; 0.883943; 0.950521; 0.927007; 0.907015;0.253182
64; 0.907742; 0.699871; 0.883943; 0.950521; 0.927007; 0.907015;0.253182
65; 0.907742; 0.694501; 0.883943; 0.950521; 0.927007; 0.907015;0.253182
66; 0.907742; 0.721787; 0.883943; 0.950521; 0.927007; 0.907015;0.253182
67; 0.907742; 0.709696; 0.883943; 0.950521; 0.927007; 0.907015;0.253182
68; 0.907742; 0.743232; 0.883943; 0.950521; 0.927007; 0.907015;0.253182
69; 0.907742; 0.741108; 0.883943; 0.950521; 0.927007; 0.907015;0.253182
70; 0.907742; 0.706988; 0.883943; 0.950521; 0.927007; 0.907015;0.253182
71; 0.907754; 0.729708; 0.883943; 0.950521; 0.927007; 0.907015;0.252992
72; 0.907754; 0.703935; 0.883943; 0.950521; 0.927007; 0.907015;0.252992
73; 0.907754; 0.71197; 0.868044; 0.984375; 0.94329; 0.968085;0.234959
74; 0.907754; 0.731734; 0.868044; 0.984375; 0.94329; 0.968085;0.234959
75; 0.907754; 0.717593; 0.866455; 0.991319; 0.947221; 0.981982;0.238565
76; 0.907754; 0.734891; 0.866455; 0.991319; 0.947221; 0.981982;0.238565
77; 0.907742; 0.725982; 0.866455; 0.991319; 0.947221; 0.981982;0.238565
78; 0.907742; 0.72037; 0.866455; 0.991319; 0.947221; 0.981982;0.238565
79; 0.907742; 0.740251; 0.866455; 0.991319; 0.947221; 0.981982;0.238565
80; 0.922512; 0.733496; 0.866455; 0.991319; 0.947221; 0.981982;0.238565
81; 0.922512; 0.712195; 0.866455; 0.991319; 0.947221; 0.981982;0.238565
82; 0.922512; 0.682944; 0.866455; 0.991319; 0.947221; 0.981982;0.238565
83; 0.923466; 0.684416; 0.868044; 0.991319; 0.947782; 0.982014;0.231268
84; 0.923466; 0.672963; 0.868044; 0.991319; 0.947782; 0.982014;0.231268
85; 0.923466; 0.686209; 0.868044; 0.991319; 0.947782; 0.982014;0.231268
