#Summary : 
#Best fitness Pop 1;0.931824
#Best fitness Pop 2;0.932789
#Std deviation Pop 1;0.24575
#Std deviation Pop 2;0.189331
#Sensitivity;0.923688
#Specificity;0.991319
#Accuracy;0.967434
#PPV;0.98308
#RMSE;0.226629
#RRSE;1.62533
#RAE;1.36795
#MSE;0.0513609
#ADM;0.888295
#MDM;0.00592703
#Size;0.333333
#OverLearn;0.433395

#Parameters : 
#Generations;150
#Population size;200
#Number of rules;3
#Number of var per rule;3
#Number of output variables;1
#Number of input sets;2
#Number of output sets;2
#Input sets pos. code size;7
#Output sets pos. code size;1
#Input vars bit code size;8
#Output vars bit code size;1
#Input sets bit code size;2
#Output sets bit code size;1
#Elite size;5
#Crossover probability;0.9
#Individual mutation prob.;0.2
#Bit mutation prob.;0.025
#Fixed vars;0
#Sensitivity weight;1
#Specificity weight;1
#Accuracy weight;0
#PPV weight;1
#RMSE weight;0.2
#RRSE weight;0
#RAE weight;0
#MSE weight;0
#ADM weight;0
#MDM weight;0
#Size weight;0.1
#OverLearn weight;0

#Fuzzy system : 
 IF 231935_at is MF 1 THEN  is MF 1
 IF 1566363_at is MF 1 THEN  is MF 1
 IF 205051_s_at is MF 1 THEN  is MF 0
 ELSE :  is 0  

Membership functions : 
231935_at (6.49914 , 9.55576) ; 1566363_at (3.3596 , 13.2587) ; 205051_s_at (5.25083 , 9.38376) ;  (0 , 1)


#Population Variables
Gen; FitMax; FitAvg; Sensitivity; Specificity; Accuracy; PPV; RMSE
1; 0.739959; 0.475241; 0.696343; 0.985243; 0.883212; 0.962637;0.341743
2; 0.874086; 0.557155; 0.869634; 0.955729; 0.925323; 0.914716;0.253063
3; 0.874086; 0.566463; 0.883943; 0.950521; 0.927007; 0.907015;0.254925
4; 0.874086; 0.581797; 0.883943; 0.950521; 0.927007; 0.907015;0.254925
5; 0.874086; 0.598012; 0.883943; 0.950521; 0.927007; 0.907015;0.254925
6; 0.911844; 0.656365; 0.883943; 0.950521; 0.927007; 0.907015;0.254925
7; 0.911844; 0.686413; 0.883943; 0.950521; 0.927007; 0.907015;0.254925
8; 0.911844; 0.669925; 0.883943; 0.950521; 0.927007; 0.907015;0.254925
9; 0.911844; 0.671206; 0.883943; 0.950521; 0.927007; 0.907015;0.254925
10; 0.911844; 0.655794; 0.883943; 0.950521; 0.927007; 0.907015;0.254925
11; 0.911844; 0.674151; 0.883943; 0.950521; 0.927007; 0.907015;0.254925
12; 0.911844; 0.703379; 0.883943; 0.950521; 0.927007; 0.907015;0.254925
13; 0.911844; 0.66331; 0.883943; 0.950521; 0.927007; 0.907015;0.254925
14; 0.911844; 0.694613; 0.883943; 0.950521; 0.927007; 0.907015;0.254925
15; 0.911844; 0.677903; 0.883943; 0.950521; 0.927007; 0.907015;0.254925
16; 0.911844; 0.678019; 0.883943; 0.950521; 0.927007; 0.907015;0.254925
17; 0.911844; 0.642703; 0.883943; 0.950521; 0.927007; 0.907015;0.254925
18; 0.911844; 0.668416; 0.883943; 0.950521; 0.927007; 0.907015;0.254925
19; 0.911844; 0.680798; 0.883943; 0.950521; 0.927007; 0.907015;0.254925
20; 0.911844; 0.68641; 0.883943; 0.950521; 0.927007; 0.907015;0.254925
21; 0.911844; 0.690043; 0.883943; 0.950521; 0.927007; 0.907015;0.254925
22; 0.911844; 0.650826; 0.883943; 0.950521; 0.927007; 0.907015;0.254925
23; 0.911844; 0.66828; 0.883943; 0.950521; 0.927007; 0.907015;0.254925
24; 0.911844; 0.650329; 0.883943; 0.950521; 0.927007; 0.907015;0.254925
