#Summary : 
#Best fitness Pop 1;0.932122
#Best fitness Pop 2;0.932122
#Std deviation Pop 1;0.246757
#Std deviation Pop 2;0.205964
#Sensitivity;0.809221
#Specificity;0.993924
#Accuracy;0.928692
#PPV;0.986434
#RMSE;0.261851
#RRSE;0.663902
#RAE;0.230699
#MSE;0.0685657
#ADM;0.892639
#MDM;0.00500056
#Size;1
#OverLearn;0.5

#Parameters : 
#Generations;150
#Population size;200
#Number of rules;3
#Number of var per rule;3
#Number of output variables;1
#Number of input sets;2
#Number of output sets;2
#Input sets pos. code size;7
#Output sets pos. code size;1
#Input vars bit code size;8
#Output vars bit code size;1
#Input sets bit code size;2
#Output sets bit code size;1
#Elite size;5
#Crossover probability;0.9
#Individual mutation prob.;0.2
#Bit mutation prob.;0.025
#Fixed vars;0
#Sensitivity weight;1
#Specificity weight;1
#Accuracy weight;0
#PPV weight;1
#RMSE weight;0
#RRSE weight;0
#RAE weight;0
#MSE weight;0
#ADM weight;0
#MDM weight;0
#Size weight;0.1
#OverLearn weight;0

#Fuzzy system : 
 IF 214761_at is MF 1 THEN  is MF 1
 IF  THEN  is MF 1
 IF  THEN  is MF 1
 ELSE :  is 0  

Membership functions : 
214761_at (3.76541 , 6.52991) ;  (0 , 1)


#Population Variables
Gen; FitMax; FitAvg; Sensitivity; Specificity; Accuracy; PPV; RMSE
1; 0.740518; 0.463694; 0.696343; 0.985243; 0.883212; 0.962637;0.341743
2; 0.877385; 0.549542; 0.869634; 0.955729; 0.925323; 0.914716;0.253063
3; 0.877385; 0.55869; 0.883943; 0.950521; 0.927007; 0.907015;0.254925
4; 0.877377; 0.574543; 0.883943; 0.950521; 0.927007; 0.907015;0.254925
5; 0.877377; 0.594833; 0.883943; 0.950521; 0.927007; 0.907015;0.254925
6; 0.916606; 0.64281; 0.883943; 0.950521; 0.927007; 0.907015;0.254925
7; 0.916606; 0.662844; 0.883943; 0.950521; 0.927007; 0.907015;0.254925
8; 0.916606; 0.655996; 0.883943; 0.950521; 0.927007; 0.907015;0.254925
9; 0.916606; 0.663122; 0.883943; 0.950521; 0.927007; 0.907015;0.254925
10; 0.916606; 0.63863; 0.883943; 0.950521; 0.927007; 0.907015;0.254925
11; 0.916606; 0.673944; 0.883943; 0.950521; 0.927007; 0.907015;0.254925
12; 0.916606; 0.713044; 0.883943; 0.950521; 0.927007; 0.907015;0.254925
13; 0.916606; 0.680946; 0.883943; 0.950521; 0.927007; 0.907015;0.254925
14; 0.916606; 0.709866; 0.883943; 0.950521; 0.927007; 0.907015;0.254925
15; 0.916606; 0.691814; 0.883943; 0.950521; 0.927007; 0.907015;0.254925
16; 0.916606; 0.70801; 0.883943; 0.950521; 0.927007; 0.907015;0.254925
17; 0.916606; 0.645365; 0.883943; 0.950521; 0.927007; 0.907015;0.254925
18; 0.916606; 0.677831; 0.883943; 0.950521; 0.927007; 0.907015;0.254925
19; 0.916606; 0.695842; 0.883943; 0.950521; 0.927007; 0.907015;0.254925
20; 0.916606; 0.695755; 0.883943; 0.950521; 0.927007; 0.907015;0.254925
21; 0.916606; 0.664687; 0.883943; 0.950521; 0.927007; 0.907015;0.254925
22; 0.916606; 0.678263; 0.883943; 0.950521; 0.927007; 0.907015;0.254925
23; 0.916606; 0.664636; 0.883943; 0.950521; 0.927007; 0.907015;0.254925
24; 0.916606; 0.659915; 0.883943; 0.950521; 0.927007; 0.907015;0.254925
25; 0.916606; 0.646343; 0.883943; 0.950521; 0.927007; 0.907015;0.254925
26; 0.916606; 0.66642; 0.883943; 0.950521; 0.927007; 0.907015;0.254925
27; 0.916606; 0.65996; 0.883943; 0.950521; 0.927007; 0.907015;0.254925
28; 0.916606; 0.637659; 0.883943; 0.950521; 0.927007; 0.907015;0.254925
29; 0.916606; 0.666719; 0.883943; 0.950521; 0.927007; 0.907015;0.254925
30; 0.916606; 0.666134; 0.883943; 0.950521; 0.927007; 0.907015;0.254925
31; 0.916606; 0.669944; 0.883943; 0.950521; 0.927007; 0.907015;0.254925
32; 0.916606; 0.695109; 0.883943; 0.950521; 0.927007; 0.907015;0.254925
33; 0.916606; 0.658629; 0.883943; 0.950521; 0.927007; 0.907015;0.254925
34; 0.916606; 0.665907; 0.883943; 0.950521; 0.927007; 0.907015;0.254925
35; 0.916606; 0.693592; 0.883943; 0.950521; 0.927007; 0.907015;0.254925
36; 0.916606; 0.678525; 0.883943; 0.950521; 0.927007; 0.907015;0.254925
37; 0.916606; 0.691738; 0.883943; 0.950521; 0.927007; 0.907015;0.254925
38; 0.916606; 0.677076; 0.883943; 0.950521; 0.927007; 0.907015;0.254925
39; 0.916606; 0.629816; 0.883943; 0.950521; 0.927007; 0.907015;0.254925
40; 0.916606; 0.647304; 0.883943; 0.950521; 0.927007; 0.907015;0.254925
41; 0.916606; 0.647478; 0.883943; 0.950521; 0.927007; 0.907015;0.254925
42; 0.916606; 0.638215; 0.883943; 0.950521; 0.927007; 0.907015;0.254925
43; 0.916606; 0.631181; 0.883943; 0.950521; 0.927007; 0.907015;0.254925
44; 0.916606; 0.62273; 0.883943; 0.950521; 0.927007; 0.907015;0.254925
45; 0.916606; 0.638098; 0.883943; 0.950521; 0.927007; 0.907015;0.254925
46; 0.916606; 0.611511; 0.883943; 0.950521; 0.927007; 0.907015;0.254925
47; 0.916606; 0.617899; 0.883943; 0.950521; 0.927007; 0.907015;0.254925
48; 0.916606; 0.63119; 0.883943; 0.950521; 0.927007; 0.907015;0.254925
49; 0.916606; 0.585719; 0.883943; 0.950521; 0.927007; 0.907015;0.254925
50; 0.916606; 0.595971; 0.883943; 0.950521; 0.927007; 0.907015;0.254925
51; 0.916606; 0.602187; 0.883943; 0.950521; 0.927007; 0.907015;0.254925
52; 0.916606; 0.59581; 0.883943; 0.950521; 0.927007; 0.907015;0.254925
53; 0.916606; 0.623286; 0.834658; 0.987847; 0.933745; 0.974026;0.243975
54; 0.916606; 0.620723; 0.834658; 0.987847; 0.933745; 0.974026;0.243975
55; 0.916606; 0.647797; 0.877583; 0.980903; 0.944413; 0.961672;0.234178
56; 0.916606; 0.637341; 0.9062; 0.970486; 0.947782; 0.943709;0.236199
57; 0.916606; 0.619003; 0.9062; 0.970486; 0.947782; 0.943709;0.236199
58; 0.916606; 0.597103; 0.810811; 0.992188; 0.92813; 0.982659;0.261191
59; 0.916606; 0.602196; 0.807631; 0.993924; 0.92813; 0.986408;0.256288
60; 0.916606; 0.591182; 0.807631; 0.993924; 0.92813; 0.986408;0.256288
61; 0.916606; 0.643898; 0.807631; 0.993924; 0.92813; 0.986408;0.256288
62; 0.903688; 0.548708; 0.807631; 0.993924; 0.92813; 0.986408;0.256288
63; 0.864801; 0.573569; 0.809221; 0.993924; 0.928692; 0.986434;0.262424
