#Summary : 
#Best fitness Pop 1;0.932814
#Best fitness Pop 2;0.932814
#Std deviation Pop 1;0.168864
#Std deviation Pop 2;0.158892
#Sensitivity;0.798092
#Specificity;0.99566
#Accuracy;0.925884
#PPV;0.990138
#RMSE;0.259842
#RRSE;1.50012
#RAE;1.15288
#MSE;0.0675181
#ADM;0.880715
#MDM;0.0020723
#Size;1
#OverLearn;0.5

#Parameters : 
#Generations;100
#Population size;200
#Number of rules;3
#Number of var per rule;3
#Number of output variables;1
#Number of input sets;2
#Number of output sets;2
#Input sets pos. code size;7
#Output sets pos. code size;1
#Input vars bit code size;8
#Output vars bit code size;1
#Input sets bit code size;2
#Output sets bit code size;1
#Elite size;5
#Crossover probability;0.9
#Individual mutation prob.;0.2
#Bit mutation prob.;0.025
#Fixed vars;0
#Sensitivity weight;0
#Specificity weight;0
#Accuracy weight;0
#PPV weight;1
#RMSE weight;1
#RRSE weight;0
#RAE weight;0
#MSE weight;0
#ADM weight;0
#MDM weight;0
#Size weight;0.6
#OverLearn weight;0

#Fuzzy system : 
 IF 214761_at is MF 1 THEN  is MF 1
 IF  THEN  is MF 0
 IF  THEN  is MF 0
 ELSE :  is 0  

Membership functions : 
214761_at (3.12744 , 7.66406) ;  (0 , 1)


#Population Variables
Gen; FitMax; FitAvg; Sensitivity; Specificity; Accuracy; PPV; RMSE
1; 0.67746; 0.422849; 0.696343; 0.985243; 0.883212; 0.962637;0.341743
2; 0.776234; 0.567202; 0.828299; 0.969618; 0.919708; 0.93705;0.259916
3; 0.777198; 0.502084; 0.828299; 0.969618; 0.919708; 0.93705;0.259916
4; 0.777198; 0.502685; 0.828299; 0.969618; 0.919708; 0.93705;0.259916
5; 0.91238; 0.720686; 0.828299; 0.969618; 0.919708; 0.93705;0.259916
6; 0.91238; 0.695607; 0.828299; 0.969618; 0.919708; 0.93705;0.259916
7; 0.91238; 0.712418; 0.828299; 0.969618; 0.919708; 0.93705;0.259916
8; 0.91238; 0.704928; 0.828299; 0.969618; 0.919708; 0.93705;0.259916
9; 0.91238; 0.690908; 0.828299; 0.969618; 0.919708; 0.93705;0.259916
10; 0.91238; 0.691694; 0.828299; 0.969618; 0.919708; 0.93705;0.259916
11; 0.91238; 0.705589; 0.828299; 0.969618; 0.919708; 0.93705;0.259916
12; 0.91238; 0.716316; 0.828299; 0.969618; 0.919708; 0.93705;0.259916
13; 0.91238; 0.685837; 0.828299; 0.969618; 0.919708; 0.93705;0.259916
14; 0.91238; 0.71772; 0.828299; 0.969618; 0.919708; 0.93705;0.259916
15; 0.91238; 0.708372; 0.828299; 0.969618; 0.919708; 0.93705;0.259916
16; 0.91238; 0.70715; 0.828299; 0.969618; 0.919708; 0.93705;0.259916
17; 0.91276; 0.694609; 0.774245; 0.979167; 0.906794; 0.953033;0.286052
18; 0.91276; 0.712177; 0.774245; 0.979167; 0.906794; 0.953033;0.286052
19; 0.91276; 0.714905; 0.774245; 0.979167; 0.906794; 0.953033;0.286052
20; 0.913521; 0.714276; 0.782194; 0.979167; 0.909601; 0.953488;0.283377
21; 0.913521; 0.697867; 0.782194; 0.979167; 0.909601; 0.953488;0.283377
22; 0.913521; 0.710169; 0.782194; 0.979167; 0.909601; 0.953488;0.283377
23; 0.913521; 0.693188; 0.782194; 0.979167; 0.909601; 0.953488;0.283377
24; 0.913521; 0.711466; 0.782194; 0.979167; 0.909601; 0.953488;0.283377
25; 0.913521; 0.678044; 0.782194; 0.979167; 0.909601; 0.953488;0.283377
26; 0.913521; 0.69457; 0.782194; 0.979167; 0.909601; 0.953488;0.283377
27; 0.913521; 0.705913; 0.782194; 0.979167; 0.909601; 0.953488;0.283377
28; 0.913521; 0.720324; 0.782194; 0.979167; 0.909601; 0.953488;0.283377
29; 0.913521; 0.717332; 0.782194; 0.979167; 0.909601; 0.953488;0.283377
30; 0.913521; 0.734492; 0.782194; 0.979167; 0.909601; 0.953488;0.283377
31; 0.913521; 0.742897; 0.782194; 0.979167; 0.909601; 0.953488;0.283377
32; 0.913521; 0.725741; 0.782194; 0.979167; 0.909601; 0.953488;0.283377
33; 0.913521; 0.730317; 0.782194; 0.979167; 0.909601; 0.953488;0.283377
34; 0.913521; 0.742122; 0.782194; 0.979167; 0.909601; 0.953488;0.283377
35; 0.913521; 0.725617; 0.782194; 0.979167; 0.909601; 0.953488;0.283377
36; 0.913521; 0.75253; 0.782194; 0.979167; 0.909601; 0.953488;0.283377
37; 0.913521; 0.738426; 0.782194; 0.979167; 0.909601; 0.953488;0.283377
38; 0.913521; 0.742295; 0.782194; 0.979167; 0.909601; 0.953488;0.283377
39; 0.913521; 0.740581; 0.782194; 0.979167; 0.909601; 0.953488;0.283377
40; 0.913521; 0.755569; 0.782194; 0.979167; 0.909601; 0.953488;0.283377
41; 0.913521; 0.739788; 0.782194; 0.979167; 0.909601; 0.953488;0.283377
42; 0.913521; 0.734615; 0.782194; 0.979167; 0.909601; 0.953488;0.283377
43; 0.913521; 0.742792; 0.782194; 0.979167; 0.909601; 0.953488;0.283377
44; 0.913521; 0.746253; 0.782194; 0.979167; 0.909601; 0.953488;0.283377
45; 0.913521; 0.743704; 0.782194; 0.979167; 0.909601; 0.953488;0.283377
46; 0.913521; 0.731733; 0.782194; 0.979167; 0.909601; 0.953488;0.283377
47; 0.913521; 0.731568; 0.782194; 0.979167; 0.909601; 0.953488;0.283377
48; 0.913521; 0.73951; 0.782194; 0.979167; 0.909601; 0.953488;0.283377
49; 0.913521; 0.745128; 0.782194; 0.979167; 0.909601; 0.953488;0.283377
50; 0.913521; 0.740255; 0.782194; 0.979167; 0.909601; 0.953488;0.283377
51; 0.913521; 0.722451; 0.782194; 0.979167; 0.909601; 0.953488;0.283377
52; 0.913521; 0.725635; 0.782194; 0.979167; 0.909601; 0.953488;0.283377
53; 0.913521; 0.722034; 0.782194; 0.979167; 0.909601; 0.953488;0.283377
54; 0.913521; 0.755725; 0.782194; 0.979167; 0.909601; 0.953488;0.283377
55; 0.913521; 0.778044; 0.782194; 0.979167; 0.909601; 0.953488;0.283377
56; 0.913521; 0.758114; 0.782194; 0.979167; 0.909601; 0.953488;0.283377
57; 0.913521; 0.782057; 0.782194; 0.979167; 0.909601; 0.953488;0.283377
58; 0.913521; 0.798393; 0.782194; 0.979167; 0.909601; 0.953488;0.283377
