#Summary : 
#Best fitness Pop 1;0.935665
#Best fitness Pop 2;0.935665
#Std deviation Pop 1;0.0724176
#Std deviation Pop 2;0.185298
#Sensitivity;0.896661
#Specificity;0.943576
#Accuracy;0.927007
#PPV;0.896661
#RMSE;0.253676
#RRSE;0.795789
#RAE;0.348908
#MSE;0.0643514
#ADM;0.880843
#MDM;0.00790024
#Size;1
#OverLearn;0.5

#Parameters : 
#Generations;200
#Population size;120
#Number of rules;1
#Number of var per rule;5
#Number of output variables;1
#Number of input sets;2
#Number of output sets;2
#Input sets pos. code size;7
#Output sets pos. code size;1
#Input vars bit code size;8
#Output vars bit code size;1
#Input sets bit code size;2
#Output sets bit code size;1
#Elite size;5
#Crossover probability;0.9
#Individual mutation prob.;0.2
#Bit mutation prob.;0.01
#Fixed vars;0
#Sensitivity weight;0.94
#Specificity weight;0.98
#Accuracy weight;0
#PPV weight;0
#RMSE weight;0.1
#RRSE weight;0
#RAE weight;0
#MSE weight;0
#ADM weight;0
#MDM weight;0
#Size weight;0.6
#OverLearn weight;0

#Fuzzy system : 
 IF 1566363_at is MF 1 THEN  is MF 1
 ELSE :  is 0  

Membership functions : 
1566363_at (6.79236 , 12.6999) ;  (0 , 1)


#Population Variables
Gen; FitMax; FitAvg; Sensitivity; Specificity; Accuracy; PPV; RMSE
1; 0.854095; 0.701675; 0.82194; 0.804688; 0.81078; 0.696765;0.386261
2; 0.854095; 0.696975; 0.82194; 0.804688; 0.81078; 0.696765;0.386261
3; 0.628335; 0.570552; 0.791733; 0.922743; 0.876474; 0.848382;0.338151
4; 0.628335; 0.585377; 0.791733; 0.922743; 0.876474; 0.848382;0.338151
5; 0.783361; 0.660912; 0.801272; 0.916667; 0.875912; 0.84;0.322794
6; 0.628335; 0.554017; 0.801272; 0.916667; 0.875912; 0.84;0.322794
7; 0.628335; 0.553393; 0.801272; 0.916667; 0.875912; 0.84;0.322794
8; 0.764361; 0.656591; 0.801272; 0.916667; 0.875912; 0.84;0.322794
9; 0.764361; 0.666904; 0.801272; 0.916667; 0.875912; 0.84;0.322794
10; 0.628335; 0.613382; 0.801272; 0.916667; 0.875912; 0.84;0.322794
11; 0.836617; 0.688726; 0.801272; 0.916667; 0.875912; 0.84;0.322794
12; 0.836617; 0.693295; 0.801272; 0.916667; 0.875912; 0.84;0.322794
13; 0.882922; 0.730294; 0.801272; 0.916667; 0.875912; 0.84;0.322794
14; 0.882922; 0.732853; 0.801272; 0.916667; 0.875912; 0.84;0.322794
15; 0.882922; 0.747502; 0.801272; 0.916667; 0.875912; 0.84;0.322794
16; 0.882922; 0.726485; 0.801272; 0.916667; 0.875912; 0.84;0.322794
17; 0.882922; 0.728461; 0.801272; 0.916667; 0.875912; 0.84;0.322794
18; 0.882922; 0.75817; 0.801272; 0.916667; 0.875912; 0.84;0.322794
19; 0.882922; 0.741023; 0.801272; 0.916667; 0.875912; 0.84;0.322794
20; 0.882922; 0.741583; 0.801272; 0.916667; 0.875912; 0.84;0.322794
21; 0.883095; 0.738465; 0.801272; 0.916667; 0.875912; 0.84;0.322794
22; 0.883095; 0.728115; 0.801272; 0.916667; 0.875912; 0.84;0.322794
23; 0.883095; 0.736724; 0.801272; 0.916667; 0.875912; 0.84;0.322794
24; 0.883095; 0.743768; 0.801272; 0.916667; 0.875912; 0.84;0.322794
25; 0.883095; 0.73437; 0.801272; 0.916667; 0.875912; 0.84;0.322794
26; 0.883095; 0.751176; 0.801272; 0.916667; 0.875912; 0.84;0.322794
27; 0.883095; 0.725716; 0.801272; 0.916667; 0.875912; 0.84;0.322794
28; 0.883491; 0.752362; 0.801272; 0.916667; 0.875912; 0.84;0.322794
29; 0.883491; 0.742713; 0.801272; 0.916667; 0.875912; 0.84;0.322794
30; 0.883491; 0.741335; 0.801272; 0.916667; 0.875912; 0.84;0.322794
31; 0.883491; 0.73484; 0.801272; 0.916667; 0.875912; 0.84;0.322794
32; 0.883491; 0.72861; 0.801272; 0.916667; 0.875912; 0.84;0.322794
33; 0.883491; 0.742257; 0.801272; 0.916667; 0.875912; 0.84;0.322794
34; 0.883491; 0.737663; 0.801272; 0.916667; 0.875912; 0.84;0.322794
35; 0.883491; 0.749378; 0.801272; 0.916667; 0.875912; 0.84;0.322794
36; 0.883491; 0.749432; 0.801272; 0.916667; 0.875912; 0.84;0.322794
37; 0.883949; 0.750899; 0.801272; 0.916667; 0.875912; 0.84;0.322794
38; 0.883949; 0.730916; 0.801272; 0.916667; 0.875912; 0.84;0.322794
39; 0.883949; 0.738779; 0.801272; 0.916667; 0.875912; 0.84;0.322794
40; 0.883949; 0.744517; 0.801272; 0.916667; 0.875912; 0.84;0.322794
41; 0.883949; 0.750991; 0.801272; 0.916667; 0.875912; 0.84;0.322794
42; 0.883949; 0.762605; 0.801272; 0.916667; 0.875912; 0.84;0.322794
43; 0.883949; 0.735743; 0.801272; 0.916667; 0.875912; 0.84;0.322794
44; 0.883949; 0.755575; 0.801272; 0.916667; 0.875912; 0.84;0.322794
45; 0.883949; 0.74901; 0.936407; 0.833333; 0.869736; 0.754161;0.357515
46; 0.883949; 0.752931; 0.936407; 0.833333; 0.869736; 0.754161;0.357515
47; 0.883949; 0.780158; 0.91256; 0.900174; 0.904548; 0.833091;0.301463
48; 0.924091; 0.767788; 0.91256; 0.900174; 0.904548; 0.833091;0.301463
49; 0.924091; 0.744875; 0.91256; 0.900174; 0.904548; 0.833091;0.301463
50; 0.924091; 0.752729; 0.91256; 0.900174; 0.904548; 0.833091;0.301463
51; 0.934033; 0.772; 0.890302; 0.945312; 0.925884; 0.898876;0.253668
52; 0.934033; 0.784526; 0.890302; 0.945312; 0.925884; 0.898876;0.253668
53; 0.934033; 0.780749; 0.890302; 0.945312; 0.925884; 0.898876;0.253668
54; 0.934033; 0.791563; 0.890302; 0.945312; 0.925884; 0.898876;0.253668
55; 0.934033; 0.759751; 0.890302; 0.945312; 0.925884; 0.898876;0.253668
56; 0.934033; 0.747868; 0.890302; 0.945312; 0.925884; 0.898876;0.253668
57; 0.934033; 0.751615; 0.890302; 0.945312; 0.925884; 0.898876;0.253668
58; 0.934033; 0.774374; 0.890302; 0.945312; 0.925884; 0.898876;0.253668
59; 0.934033; 0.769199; 0.890302; 0.945312; 0.925884; 0.898876;0.253668
60; 0.934033; 0.770392; 0.890302; 0.945312; 0.925884; 0.898876;0.253668
61; 0.934033; 0.786453; 0.890302; 0.945312; 0.925884; 0.898876;0.253668
