#Summary : 
#Best fitness Pop 1;0.925681
#Best fitness Pop 2;0.925681
#Std deviation Pop 1;0.0480715
#Std deviation Pop 2;0.178311
#Sensitivity;0.82194
#Specificity;0.988715
#Accuracy;0.929815
#PPV;0.975472
#RMSE;0.256371
#RRSE;1.11271
#RAE;0.630687
#MSE;0.0657261
#ADM;0.896731
#MDM;0.00528255
#Size;1
#OverLearn;0.5

#Parameters : 
#Generations;200
#Population size;120
#Number of rules;5
#Number of var per rule;1
#Number of output variables;1
#Number of input sets;2
#Number of output sets;2
#Input sets pos. code size;7
#Output sets pos. code size;1
#Input vars bit code size;8
#Output vars bit code size;1
#Input sets bit code size;2
#Output sets bit code size;1
#Elite size;5
#Crossover probability;0.9
#Individual mutation prob.;0.2
#Bit mutation prob.;0.01
#Fixed vars;0
#Sensitivity weight;0.94
#Specificity weight;0.98
#Accuracy weight;0
#PPV weight;0
#RMSE weight;0.1
#RRSE weight;0
#RAE weight;0
#MSE weight;0
#ADM weight;0
#MDM weight;0
#Size weight;0.6
#OverLearn weight;0

#Fuzzy system : 
 IF  THEN  is MF 1
 IF  THEN  is MF 0
 IF  THEN  is MF 0
 IF  THEN  is MF 1
 IF 214761_at is MF 1 THEN  is MF 1
 ELSE :  is 0  

Membership functions : 
214761_at (3.3401 , 5.82106) ;  (0 , 1)


#Population Variables
Gen; FitMax; FitAvg; Sensitivity; Specificity; Accuracy; PPV; RMSE
1; 0.628335; 0.614784; 0.63593; 0.936632; 0.830432; 0.845666;0.381152
2; 0.628335; 0.614472; 0.63593; 0.936632; 0.830432; 0.845666;0.381152
3; 0.660662; 0.606858; 0.63593; 0.936632; 0.830432; 0.845666;0.381152
4; 0.819537; 0.673336; 0.63593; 0.936632; 0.830432; 0.845666;0.381152
5; 0.823962; 0.678063; 0.63593; 0.936632; 0.830432; 0.845666;0.381152
6; 0.737996; 0.593658; 0.63593; 0.936632; 0.830432; 0.845666;0.381152
7; 0.823962; 0.681853; 0.63593; 0.936632; 0.830432; 0.845666;0.381152
8; 0.823962; 0.676492; 0.63593; 0.936632; 0.830432; 0.845666;0.381152
9; 0.836617; 0.683726; 0.63593; 0.936632; 0.830432; 0.845666;0.381152
10; 0.836617; 0.679384; 0.63593; 0.936632; 0.830432; 0.845666;0.381152
11; 0.836617; 0.689038; 0.63593; 0.936632; 0.830432; 0.845666;0.381152
12; 0.836617; 0.675977; 0.63593; 0.936632; 0.830432; 0.845666;0.381152
13; 0.836617; 0.679196; 0.63593; 0.936632; 0.830432; 0.845666;0.381152
14; 0.840697; 0.692824; 0.693164; 0.891493; 0.821449; 0.777184;0.369804
15; 0.840697; 0.706285; 0.701113; 0.945312; 0.859068; 0.875;0.345139
16; 0.840697; 0.696424; 0.701113; 0.945312; 0.859068; 0.875;0.345139
17; 0.840697; 0.70334; 0.701113; 0.945312; 0.859068; 0.875;0.345139
18; 0.840697; 0.693318; 0.804452; 0.993924; 0.927007; 0.986355;0.260225
19; 0.840697; 0.695452; 0.804452; 0.993924; 0.927007; 0.986355;0.260225
20; 0.898862; 0.722326; 0.809221; 0.993056; 0.92813; 0.984526;0.265963
21; 0.897162; 0.708977; 0.809221; 0.993056; 0.92813; 0.984526;0.265963
22; 0.897162; 0.737813; 0.809221; 0.993056; 0.92813; 0.984526;0.265963
23; 0.897162; 0.755549; 0.809221; 0.993056; 0.92813; 0.984526;0.265963
24; 0.871004; 0.717392; 0.809221; 0.993056; 0.92813; 0.984526;0.265963
25; 0.880757; 0.697885; 0.809221; 0.993056; 0.92813; 0.984526;0.265963
26; 0.922529; 0.752637; 0.809221; 0.993056; 0.92813; 0.984526;0.265963
27; 0.922529; 0.776058; 0.809221; 0.993056; 0.92813; 0.984526;0.265963
28; 0.922529; 0.763467; 0.809221; 0.993056; 0.92813; 0.984526;0.265963
29; 0.925316; 0.792788; 0.82194; 0.987847; 0.929253; 0.973635;0.258178
30; 0.925316; 0.789669; 0.82194; 0.987847; 0.929253; 0.973635;0.258178
31; 0.925316; 0.776651; 0.82194; 0.987847; 0.929253; 0.973635;0.258178
32; 0.925316; 0.776609; 0.82194; 0.987847; 0.929253; 0.973635;0.258178
33; 0.925316; 0.789143; 0.82194; 0.987847; 0.929253; 0.973635;0.258178
34; 0.925316; 0.774838; 0.82194; 0.987847; 0.929253; 0.973635;0.258178
35; 0.925316; 0.78217; 0.82194; 0.987847; 0.929253; 0.973635;0.258178
36; 0.925316; 0.788662; 0.82194; 0.987847; 0.929253; 0.973635;0.258178
37; 0.925316; 0.77521; 0.82194; 0.987847; 0.929253; 0.973635;0.258178
38; 0.925316; 0.790928; 0.82194; 0.987847; 0.929253; 0.973635;0.258178
39; 0.925316; 0.798874; 0.82194; 0.987847; 0.929253; 0.973635;0.258178
40; 0.925316; 0.820309; 0.82194; 0.987847; 0.929253; 0.973635;0.258178
41; 0.925316; 0.814545; 0.82194; 0.987847; 0.929253; 0.973635;0.258178
42; 0.925644; 0.816864; 0.82194; 0.988715; 0.929815; 0.975472;0.258012
43; 0.925644; 0.829365; 0.82194; 0.988715; 0.929815; 0.975472;0.258012
44; 0.925644; 0.825464; 0.82194; 0.988715; 0.929815; 0.975472;0.258012
45; 0.925644; 0.842555; 0.82194; 0.988715; 0.929815; 0.975472;0.258012
46; 0.925644; 0.84225; 0.82194; 0.988715; 0.929815; 0.975472;0.258012
47; 0.925644; 0.851376; 0.82194; 0.988715; 0.929815; 0.975472;0.258012
48; 0.925644; 0.835454; 0.82194; 0.988715; 0.929815; 0.975472;0.258012
49; 0.925644; 0.812012; 0.82194; 0.988715; 0.929815; 0.975472;0.258012
50; 0.925644; 0.806118; 0.82194; 0.988715; 0.929815; 0.975472;0.258012
51; 0.925644; 0.839927; 0.82194; 0.988715; 0.929815; 0.975472;0.258012
52; 0.925644; 0.863744; 0.82194; 0.988715; 0.929815; 0.975472;0.258012
53; 0.925644; 0.870939; 0.82194; 0.988715; 0.929815; 0.975472;0.258012
54; 0.925644; 0.870823; 0.82194; 0.988715; 0.929815; 0.975472;0.258012
55; 0.925644; 0.875109; 0.82194; 0.988715; 0.929815; 0.975472;0.258012
56; 0.925644; 0.871601; 0.82194; 0.988715; 0.929815; 0.975472;0.258012
57; 0.925644; 0.869891; 0.82194; 0.988715; 0.929815; 0.975472;0.258012
58; 0.925644; 0.865558; 0.82194; 0.988715; 0.929815; 0.975472;0.258012
59; 0.925644; 0.883914; 0.82194; 0.988715; 0.929815; 0.975472;0.258012
60; 0.925644; 0.894841; 0.82194; 0.988715; 0.929815; 0.975472;0.258012
61; 0.925644; 0.896776; 0.82194; 0.988715; 0.929815; 0.975472;0.258012
