#Summary : 
#Best fitness Pop 1;0.925563
#Best fitness Pop 2;0.925563
#Std deviation Pop 1;0.0483146
#Std deviation Pop 2;0.195649
#Sensitivity;0.82194
#Specificity;0.988715
#Accuracy;0.929815
#PPV;0.975472
#RMSE;0.261703
#RRSE;1.64597
#RAE;1.38502
#MSE;0.0684883
#ADM;0.881791
#MDM;0.00348848
#Size;1
#OverLearn;0.7

#Parameters : 
#Generations;200
#Population size;120
#Number of rules;5
#Number of var per rule;3
#Number of output variables;1
#Number of input sets;2
#Number of output sets;2
#Input sets pos. code size;7
#Output sets pos. code size;1
#Input vars bit code size;8
#Output vars bit code size;1
#Input sets bit code size;2
#Output sets bit code size;1
#Elite size;5
#Crossover probability;0.9
#Individual mutation prob.;0.2
#Bit mutation prob.;0.01
#Fixed vars;0
#Sensitivity weight;0.94
#Specificity weight;0.98
#Accuracy weight;0
#PPV weight;0
#RMSE weight;0.1
#RRSE weight;0
#RAE weight;0
#MSE weight;0
#ADM weight;0
#MDM weight;0
#Size weight;0.6
#OverLearn weight;0

#Fuzzy system : 
 IF  THEN  is MF 1
 IF  THEN  is MF 1
 IF 214761_at is MF 0 THEN  is MF 0
 IF  THEN  is MF 1
 IF  THEN  is MF 1
 ELSE :  is 1  

Membership functions : 
214761_at (2.70214 , 6.45902) ;  (0 , 1)


#Population Variables
Gen; FitMax; FitAvg; Sensitivity; Specificity; Accuracy; PPV; RMSE
1; 0.528381; 0.480855; 0.875994; 0.438368; 0.592925; 0.459933;0.529133
2; 0.527587; 0.479116; 0.875994; 0.438368; 0.592925; 0.459933;0.529133
3; 0.513831; 0.476155; 0.901431; 0.77691; 0.820887; 0.688107;0.455764
4; 0.619211; 0.515408; 0.72655; 0.960938; 0.878158; 0.910359;0.362217
5; 0.619211; 0.51394; 0.72655; 0.960938; 0.878158; 0.910359;0.362217
6; 0.725281; 0.442854; 0.891892; 0.886285; 0.888265; 0.810694;0.448133
7; 0.692813; 0.504627; 0.891892; 0.886285; 0.888265; 0.810694;0.448133
8; 0.708222; 0.507589; 0.891892; 0.886285; 0.888265; 0.810694;0.448133
9; 0.667025; 0.486675; 0.891892; 0.886285; 0.888265; 0.810694;0.448133
10; 0.701084; 0.470565; 0.891892; 0.886285; 0.888265; 0.810694;0.448133
11; 0.679789; 0.452589; 0.891892; 0.886285; 0.888265; 0.810694;0.448133
12; 0.701084; 0.470403; 0.891892; 0.886285; 0.888265; 0.810694;0.448133
13; 0.701084; 0.47148; 0.891892; 0.886285; 0.888265; 0.810694;0.448133
14; 0.706845; 0.486373; 0.841017; 0.916667; 0.889949; 0.8464;0.291709
15; 0.737181; 0.569206; 0.844197; 0.924479; 0.896126; 0.859223;0.288426
16; 0.737181; 0.572876; 0.844197; 0.924479; 0.896126; 0.859223;0.288426
17; 0.740407; 0.561968; 0.798092; 0.934028; 0.886019; 0.868512;0.299942
18; 0.740407; 0.577524; 0.798092; 0.934028; 0.886019; 0.868512;0.299942
19; 0.740407; 0.588965; 0.798092; 0.934028; 0.886019; 0.868512;0.299942
20; 0.740407; 0.579851; 0.887122; 0.864583; 0.872544; 0.781513;0.321731
21; 0.740856; 0.604472; 0.887122; 0.864583; 0.872544; 0.781513;0.321731
22; 0.740859; 0.607052; 0.887122; 0.864583; 0.872544; 0.781513;0.321731
23; 0.740625; 0.608259; 0.885533; 0.868056; 0.874228; 0.785614;0.319905
24; 0.746434; 0.638985; 0.885533; 0.868056; 0.874228; 0.785614;0.319905
25; 0.746434; 0.65544; 0.868044; 0.884549; 0.87872; 0.804124;0.314718
26; 0.74518; 0.653864; 0.868044; 0.884549; 0.87872; 0.804124;0.314718
27; 0.74518; 0.656938; 0.868044; 0.884549; 0.87872; 0.804124;0.314718
28; 0.787489; 0.708985; 0.868044; 0.884549; 0.87872; 0.804124;0.314718
29; 0.790308; 0.70667; 0.882353; 0.878472; 0.879843; 0.798561;0.316654
30; 0.790308; 0.701371; 0.882353; 0.878472; 0.879843; 0.798561;0.316654
31; 0.790308; 0.681335; 0.882353; 0.878472; 0.879843; 0.798561;0.316654
32; 0.790308; 0.6843; 0.882353; 0.878472; 0.879843; 0.798561;0.316654
33; 0.790308; 0.6785; 0.882353; 0.878472; 0.879843; 0.798561;0.316654
34; 0.790308; 0.656951; 0.882353; 0.878472; 0.879843; 0.798561;0.316654
35; 0.790308; 0.680191; 0.755167; 0.917535; 0.860191; 0.833333;0.334242
36; 0.790312; 0.682207; 0.755167; 0.917535; 0.860191; 0.833333;0.334242
37; 0.790312; 0.6661; 0.801272; 0.881076; 0.852892; 0.786271;0.35811
38; 0.791291; 0.69429; 0.81717; 0.867188; 0.849523; 0.770615;0.34453
39; 0.791291; 0.690683; 0.81717; 0.867188; 0.849523; 0.770615;0.34453
40; 0.790312; 0.694628; 0.81717; 0.867188; 0.849523; 0.770615;0.34453
41; 0.790312; 0.712742; 0.81717; 0.867188; 0.849523; 0.770615;0.34453
42; 0.876618; 0.809253; 0.81717; 0.867188; 0.849523; 0.770615;0.34453
43; 0.876618; 0.822582; 0.81717; 0.867188; 0.849523; 0.770615;0.34453
44; 0.876618; 0.813563; 0.81717; 0.867188; 0.849523; 0.770615;0.34453
45; 0.876618; 0.830756; 0.81717; 0.867188; 0.849523; 0.770615;0.34453
46; 0.876618; 0.830732; 0.81717; 0.867188; 0.849523; 0.770615;0.34453
47; 0.876618; 0.828797; 0.81717; 0.867188; 0.849523; 0.770615;0.34453
48; 0.876618; 0.826246; 0.81717; 0.867188; 0.849523; 0.770615;0.34453
49; 0.876618; 0.806496; 0.81717; 0.867188; 0.849523; 0.770615;0.34453
50; 0.876618; 0.803043; 0.81717; 0.867188; 0.849523; 0.770615;0.34453
51; 0.876618; 0.827314; 0.81717; 0.867188; 0.849523; 0.770615;0.34453
52; 0.876618; 0.832419; 0.81717; 0.867188; 0.849523; 0.770615;0.34453
53; 0.876618; 0.83205; 0.81717; 0.867188; 0.849523; 0.770615;0.34453
54; 0.876618; 0.832253; 0.81717; 0.867188; 0.849523; 0.770615;0.34453
55; 0.876618; 0.83632; 0.81717; 0.867188; 0.849523; 0.770615;0.34453
56; 0.876618; 0.83876; 0.81717; 0.867188; 0.849523; 0.770615;0.34453
57; 0.876618; 0.832611; 0.81717; 0.867188; 0.849523; 0.770615;0.34453
58; 0.876618; 0.833629; 0.81717; 0.867188; 0.849523; 0.770615;0.34453
59; 0.876618; 0.846326; 0.81717; 0.867188; 0.849523; 0.770615;0.34453
60; 0.876618; 0.851778; 0.81717; 0.867188; 0.849523; 0.770615;0.34453
61; 0.876618; 0.853208; 0.81717; 0.867188; 0.849523; 0.770615;0.34453
62; 0.876618; 0.854696; 0.81717; 0.867188; 0.849523; 0.770615;0.34453
63; 0.876618; 0.859562; 0.81717; 0.867188; 0.849523; 0.770615;0.34453
64; 0.876618; 0.856175; 0.81717; 0.867188; 0.849523; 0.770615;0.34453
65; 0.876618; 0.849227; 0.81717; 0.867188; 0.849523; 0.770615;0.34453
66; 0.876618; 0.844606; 0.81717; 0.867188; 0.849523; 0.770615;0.34453
67; 0.876618; 0.843682; 0.81717; 0.867188; 0.849523; 0.770615;0.34453
68; 0.876618; 0.843934; 0.81717; 0.867188; 0.849523; 0.770615;0.34453
69; 0.876618; 0.853712; 0.81717; 0.867188; 0.849523; 0.770615;0.34453
70; 0.876618; 0.849255; 0.81717; 0.867188; 0.849523; 0.770615;0.34453
71; 0.876618; 0.85752; 0.81717; 0.867188; 0.849523; 0.770615;0.34453
72; 0.876618; 0.856034; 0.81717; 0.867188; 0.849523; 0.770615;0.34453
73; 0.876618; 0.855325; 0.81717; 0.867188; 0.849523; 0.770615;0.34453
74; 0.876618; 0.849926; 0.81717; 0.867188; 0.849523; 0.770615;0.34453
75; 0.876618; 0.855318; 0.81717; 0.867188; 0.849523; 0.770615;0.34453
76; 0.876618; 0.85746; 0.81717; 0.867188; 0.849523; 0.770615;0.34453
77; 0.876618; 0.85276; 0.81717; 0.867188; 0.849523; 0.770615;0.34453
78; 0.876618; 0.852377; 0.81717; 0.867188; 0.849523; 0.770615;0.34453
79; 0.876618; 0.848658; 0.81717; 0.867188; 0.849523; 0.770615;0.34453
80; 0.876618; 0.851655; 0.81717; 0.867188; 0.849523; 0.770615;0.34453
81; 0.876618; 0.848252; 0.81717; 0.867188; 0.849523; 0.770615;0.34453
82; 0.876618; 0.850649; 0.81717; 0.867188; 0.849523; 0.770615;0.34453
83; 0.876618; 0.852923; 0.81717; 0.867188; 0.849523; 0.770615;0.34453
84; 0.876618; 0.856433; 0.81717; 0.867188; 0.849523; 0.770615;0.34453
