#Summary : 
#Best fitness Pop 1;0.795543
#Best fitness Pop 2;0.814709
#Std deviation Pop 1;0.0889135
#Std deviation Pop 2;0.140169
#Sensitivity;0.952305
#Specificity;0.975694
#Accuracy;0.967434
#PPV;0.955343
#RMSE;0.239273
#RRSE;0.856269
#RAE;0.45445
#MSE;0.0572517
#ADM;0.794226
#MDM;0.000157684
#Size;0.333333
#OverLearn;0.490421

#Parameters : 
#Generations;200
#Population size;120
#Number of rules;5
#Number of var per rule;5
#Number of output variables;1
#Number of input sets;2
#Number of output sets;2
#Input sets pos. code size;7
#Output sets pos. code size;1
#Input vars bit code size;8
#Output vars bit code size;1
#Input sets bit code size;2
#Output sets bit code size;1
#Elite size;5
#Crossover probability;0.9
#Individual mutation prob.;0.2
#Bit mutation prob.;0.01
#Fixed vars;0
#Sensitivity weight;0.94
#Specificity weight;0.98
#Accuracy weight;0
#PPV weight;0
#RMSE weight;0.1
#RRSE weight;0
#RAE weight;0
#MSE weight;0
#ADM weight;0
#MDM weight;0
#Size weight;0.6
#OverLearn weight;0

#Fuzzy system : 
 IF 221558_s_at is MF 1 AND 201416_at is MF 1 THEN  is MF 1
 IF 227646_at is MF 0 THEN  is MF 0
 IF  THEN  is MF 0
 IF  THEN  is MF 1
 IF  THEN  is MF 1
 ELSE :  is 1  

Membership functions : 
227646_at (6.83968 , 12.0651) ; 221558_s_at (5.93592 , 8.45431) ; 201416_at (8.52664 , 10.5586) ;  (0 , 1)


#Population Variables
Gen; FitMax; FitAvg; Sensitivity; Specificity; Accuracy; PPV; RMSE
1; 0.567802; 0.445313; 0.922099; 0.52691; 0.66648; 0.515556;0.440028
2; 0.482506; 0.426523; 0.779014; 0.688368; 0.720382; 0.57715;0.439608
3; 0.482506; 0.428129; 0.608903; 0.96875; 0.841662; 0.914081;0.368391
4; 0.625189; 0.488247; 0.701113; 0.926215; 0.846715; 0.838403;0.361015
5; 0.646834; 0.452571; 0.740858; 0.952257; 0.877597; 0.894434;0.32801
6; 0.655557; 0.456652; 0.866455; 0.926215; 0.905109; 0.865079;0.356378
7; 0.671515; 0.493228; 0.866455; 0.926215; 0.905109; 0.865079;0.356378
8; 0.663685; 0.459699; 0.866455; 0.932292; 0.90904; 0.874799;0.327045
9; 0.712886; 0.516262; 0.877583; 0.928819; 0.910724; 0.870662;0.357618
10; 0.713871; 0.519181; 0.871224; 0.954861; 0.925323; 0.913333;0.267461
11; 0.716881; 0.546065; 0.852146; 0.979167; 0.934307; 0.957143;0.265953
12; 0.724197; 0.54114; 0.852146; 0.979167; 0.934307; 0.957143;0.265953
13; 0.720126; 0.52336; 0.858506; 0.975694; 0.934307; 0.950704;0.262692
14; 0.707091; 0.487554; 0.952305; 0.90625; 0.922515; 0.847242;0.316963
15; 0.707091; 0.500459; 0.952305; 0.90625; 0.922515; 0.847242;0.316963
16; 0.707091; 0.488467; 0.90938; 0.952257; 0.937114; 0.912281;0.307286
17; 0.702691; 0.497267; 0.926868; 0.960938; 0.948905; 0.928344;0.244303
18; 0.733401; 0.504291; 0.926868; 0.960938; 0.948905; 0.928344;0.244303
19; 0.687315; 0.517773; 0.926868; 0.960938; 0.948905; 0.928344;0.244303
20; 0.752823; 0.534442; 0.926868; 0.960938; 0.948905; 0.928344;0.244303
21; 0.753902; 0.5503; 0.928458; 0.962674; 0.95059; 0.931419;0.250634
22; 0.753902; 0.531159; 0.928458; 0.962674; 0.95059; 0.931419;0.250634
23; 0.753902; 0.519425; 0.928458; 0.962674; 0.95059; 0.931419;0.250634
24; 0.753902; 0.536728; 0.928458; 0.962674; 0.95059; 0.931419;0.250634
25; 0.753902; 0.549247; 0.928458; 0.962674; 0.95059; 0.931419;0.250634
26; 0.754032; 0.539728; 0.936407; 0.954861; 0.948344; 0.918877;0.241674
27; 0.754032; 0.514508; 0.936407; 0.954861; 0.948344; 0.918877;0.241674
28; 0.754032; 0.52326; 0.936407; 0.954861; 0.948344; 0.918877;0.241674
29; 0.754141; 0.52376; 0.925278; 0.966146; 0.951713; 0.937198;0.246981
30; 0.754141; 0.519145; 0.925278; 0.966146; 0.951713; 0.937198;0.246981
31; 0.754141; 0.522048; 0.925278; 0.966146; 0.951713; 0.937198;0.246981
32; 0.755909; 0.534488; 0.925278; 0.966146; 0.951713; 0.937198;0.247179
33; 0.755909; 0.52458; 0.936407; 0.959201; 0.951151; 0.926101;0.244525
34; 0.755909; 0.519533; 0.936407; 0.959201; 0.951151; 0.926101;0.244525
35; 0.761866; 0.543568; 0.944356; 0.957465; 0.952836; 0.923795;0.245322
36; 0.761866; 0.533363; 0.944356; 0.957465; 0.952836; 0.923795;0.245322
37; 0.761867; 0.540286; 0.944356; 0.957465; 0.952836; 0.923795;0.245256
38; 0.761867; 0.531679; 0.944356; 0.957465; 0.952836; 0.923795;0.245256
39; 0.761867; 0.556798; 0.944356; 0.957465; 0.952836; 0.923795;0.245256
40; 0.761867; 0.557237; 0.944356; 0.957465; 0.952836; 0.923795;0.245256
41; 0.761867; 0.597554; 0.944356; 0.957465; 0.952836; 0.923795;0.245256
42; 0.762683; 0.610709; 0.949126; 0.954861; 0.952836; 0.919877;0.241729
43; 0.762683; 0.603317; 0.949126; 0.954861; 0.952836; 0.919877;0.241729
44; 0.762683; 0.607024; 0.949126; 0.954861; 0.952836; 0.919877;0.241729
45; 0.762683; 0.622128; 0.949126; 0.954861; 0.952836; 0.919877;0.241729
46; 0.762683; 0.637941; 0.949126; 0.954861; 0.952836; 0.919877;0.241729
47; 0.762986; 0.608773; 0.944356; 0.960069; 0.95452; 0.928125;0.23878
48; 0.762986; 0.620443; 0.944356; 0.960069; 0.95452; 0.928125;0.23878
49; 0.762986; 0.628942; 0.944356; 0.960069; 0.95452; 0.928125;0.23878
50; 0.762986; 0.621466; 0.944356; 0.960069; 0.95452; 0.928125;0.23878
51; 0.762986; 0.635643; 0.944356; 0.960069; 0.95452; 0.928125;0.238649
52; 0.762986; 0.653897; 0.944356; 0.960069; 0.95452; 0.928125;0.238649
53; 0.763549; 0.6505; 0.945946; 0.960069; 0.955081; 0.928237;0.238959
54; 0.763552; 0.651674; 0.945946; 0.960069; 0.955081; 0.928237;0.238959
55; 0.764104; 0.664448; 0.947536; 0.960069; 0.955643; 0.928349;0.239813
56; 0.764104; 0.659827; 0.947536; 0.960069; 0.955643; 0.928349;0.239813
57; 0.764104; 0.669428; 0.953895; 0.958333; 0.956766; 0.925926;0.244449
58; 0.764104; 0.651064; 0.953895; 0.958333; 0.956766; 0.925926;0.244449
59; 0.765814; 0.650372; 0.968203; 0.947049; 0.95452; 0.908955;0.277568
60; 0.765814; 0.654482; 0.968203; 0.947049; 0.95452; 0.908955;0.277568
61; 0.764104; 0.682397; 0.968203; 0.947049; 0.95452; 0.908955;0.277568
62; 0.764104; 0.688306; 0.968203; 0.947917; 0.955081; 0.910314;0.277668
63; 0.764104; 0.699062; 0.952305; 0.961806; 0.95845; 0.931571;0.236339
64; 0.764423; 0.692051; 0.952305; 0.961806; 0.95845; 0.931571;0.236339
65; 0.764104; 0.681905; 0.952305; 0.961806; 0.95845; 0.931571;0.236339
66; 0.764226; 0.667245; 0.952305; 0.961806; 0.95845; 0.931571;0.236339
67; 0.766542; 0.662617; 0.952305; 0.961806; 0.95845; 0.931571;0.236339
68; 0.766542; 0.65416; 0.952305; 0.961806; 0.95845; 0.931571;0.236339
69; 0.767993; 0.674003; 0.957075; 0.963542; 0.961258; 0.934783;0.277443
70; 0.767993; 0.655348; 0.957075; 0.963542; 0.961258; 0.934783;0.277443
71; 0.767993; 0.657787; 0.957075; 0.963542; 0.961258; 0.934783;0.277443
72; 0.767993; 0.653262; 0.957075; 0.963542; 0.961258; 0.934783;0.277443
73; 0.768626; 0.639947; 0.957075; 0.965278; 0.962381; 0.937695;0.278184
74; 0.768626; 0.637001; 0.957075; 0.965278; 0.962381; 0.937695;0.278184
75; 0.768626; 0.629809; 0.957075; 0.965278; 0.962381; 0.937695;0.278184
76; 0.768626; 0.63135; 0.957075; 0.965278; 0.962381; 0.937695;0.278184
77; 0.768633; 0.629726; 0.957075; 0.965278; 0.962381; 0.937695;0.277851
78; 0.768633; 0.65661; 0.957075; 0.965278; 0.962381; 0.937695;0.277851
79; 0.768943; 0.646123; 0.957075; 0.966146; 0.962942; 0.939158;0.278547
80; 0.769289; 0.660378; 0.957075; 0.967014; 0.963504; 0.940625;0.27753
81; 0.769289; 0.672988; 0.957075; 0.966146; 0.962942; 0.939158;0.277315
82; 0.769289; 0.656128; 0.957075; 0.966146; 0.962942; 0.939158;0.277315
83; 0.769289; 0.661177; 0.957075; 0.966146; 0.962942; 0.939158;0.277315
84; 0.774428; 0.674521; 0.957075; 0.966146; 0.962942; 0.939158;0.277034
85; 0.774428; 0.694873; 0.957075; 0.966146; 0.962942; 0.939158;0.277034
86; 0.774428; 0.686167; 0.957075; 0.966146; 0.962942; 0.939158;0.277034
87; 0.774428; 0.694311; 0.957075; 0.966146; 0.962942; 0.939158;0.277034
88; 0.774428; 0.691856; 0.957075; 0.966146; 0.962942; 0.939158;0.277034
89; 0.774428; 0.685951; 0.957075; 0.966146; 0.962942; 0.939158;0.277034
90; 0.774428; 0.675818; 0.957075; 0.966146; 0.962942; 0.939158;0.277034
91; 0.774428; 0.697626; 0.957075; 0.966146; 0.962942; 0.939158;0.277034
92; 0.774439; 0.673158; 0.957075; 0.966146; 0.962942; 0.939158;0.276531
93; 0.774439; 0.665857; 0.957075; 0.966146; 0.962942; 0.939158;0.276531
94; 0.774439; 0.702463; 0.957075; 0.966146; 0.962942; 0.939158;0.276531
95; 0.774439; 0.693566; 0.957075; 0.966146; 0.962942; 0.939158;0.276531
96; 0.774439; 0.691101; 0.957075; 0.966146; 0.962942; 0.939158;0.276531
97; 0.774439; 0.682832; 0.957075; 0.966146; 0.962942; 0.939158;0.276531
98; 0.774439; 0.665899; 0.957075; 0.966146; 0.962942; 0.939158;0.276531
99; 0.774439; 0.671382; 0.957075; 0.966146; 0.962942; 0.939158;0.276531
100; 0.77444; 0.672512; 0.957075; 0.966146; 0.962942; 0.939158;0.276481
101; 0.774441; 0.674312; 0.957075; 0.966146; 0.962942; 0.939158;0.276435
102; 0.774441; 0.684213; 0.957075; 0.966146; 0.962942; 0.939158;0.276435
103; 0.774441; 0.703175; 0.957075; 0.966146; 0.962942; 0.939158;0.276435
104; 0.774441; 0.696184; 0.957075; 0.966146; 0.962942; 0.939158;0.276435
105; 0.774441; 0.694348; 0.957075; 0.966146; 0.962942; 0.939158;0.276435
106; 0.774441; 0.702221; 0.957075; 0.966146; 0.962942; 0.939158;0.276435
107; 0.774441; 0.703158; 0.957075; 0.966146; 0.962942; 0.939158;0.276435
108; 0.774441; 0.702947; 0.957075; 0.966146; 0.962942; 0.939158;0.276435
109; 0.774441; 0.690489; 0.957075; 0.966146; 0.962942; 0.939158;0.276435
110; 0.774516; 0.695305; 0.961844; 0.961806; 0.961819; 0.932203;0.27704
111; 0.774516; 0.694973; 0.961844; 0.961806; 0.961819; 0.932203;0.27704
112; 0.774516; 0.677075; 0.961844; 0.967014; 0.965188; 0.940902;0.276483
113; 0.774516; 0.670837; 0.961844; 0.967014; 0.965188; 0.940902;0.276483
114; 0.774516; 0.675044; 0.961844; 0.967014; 0.965188; 0.940902;0.276483
115; 0.774516; 0.671236; 0.960254; 0.96875; 0.96575; 0.94375;0.264172
116; 0.776789; 0.639651; 0.960254; 0.96875; 0.96575; 0.94375;0.263359
117; 0.776843; 0.670677; 0.960254; 0.96875; 0.96575; 0.94375;0.263359
118; 0.776843; 0.675344; 0.960254; 0.96875; 0.96575; 0.94375;0.263359
119; 0.776843; 0.684438; 0.965024; 0.966146; 0.96575; 0.939628;0.256083
120; 0.776843; 0.709492; 0.965024; 0.966146; 0.96575; 0.939628;0.256083
121; 0.776843; 0.694346; 0.965024; 0.966146; 0.96575; 0.939628;0.256083
122; 0.776843; 0.69589; 0.965024; 0.966146; 0.96575; 0.939628;0.256083
123; 0.776843; 0.700649; 0.960254; 0.969618; 0.966311; 0.945227;0.264528
124; 0.777126; 0.704523; 0.960254; 0.969618; 0.966311; 0.945227;0.264528
125; 0.77839; 0.667183; 0.960254; 0.969618; 0.966311; 0.945227;0.264143
126; 0.778456; 0.671582; 0.960254; 0.969618; 0.966311; 0.945227;0.264143
127; 0.778791; 0.669809; 0.960254; 0.969618; 0.966311; 0.945227;0.264143
128; 0.785453; 0.710412; 0.971383; 0.960938; 0.964627; 0.931402;0.26765
129; 0.785453; 0.715294; 0.971383; 0.960938; 0.964627; 0.931402;0.26765
130; 0.785453; 0.727117; 0.971383; 0.960938; 0.964627; 0.931402;0.26765
131; 0.785468; 0.726034; 0.971383; 0.960938; 0.964627; 0.931402;0.266957
132; 0.785468; 0.741192; 0.971383; 0.960938; 0.964627; 0.931402;0.266957
133; 0.785468; 0.733719; 0.971383; 0.960938; 0.964627; 0.931402;0.266957
134; 0.785513; 0.724162; 0.969793; 0.962674; 0.965188; 0.93415;0.268495
135; 0.785804; 0.718022; 0.971383; 0.961806; 0.965188; 0.932824;0.266452
136; 0.785804; 0.730329; 0.971383; 0.961806; 0.965188; 0.932824;0.266452
137; 0.785804; 0.729306; 0.971383; 0.961806; 0.965188; 0.932824;0.266452
138; 0.785804; 0.718839; 0.971383; 0.961806; 0.965188; 0.932824;0.266452
139; 0.785804; 0.726426; 0.971383; 0.961806; 0.965188; 0.932824;0.266452
140; 0.785844; 0.710875; 0.971383; 0.961806; 0.965188; 0.932824;0.264627
141; 0.78617; 0.688454; 0.974563; 0.960069; 0.965188; 0.930197;0.272138
142; 0.78617; 0.690278; 0.974563; 0.960069; 0.965188; 0.930197;0.272138
143; 0.78617; 0.676792; 0.974563; 0.960069; 0.965188; 0.930197;0.272138
